 (0.128063+0.000000j)  (0.047642-0.009150j)  (0.036629-0.034892j)  (-0.014934-0.083822j)  (0.012022+0.030022j)  (-0.020182+0.075961j)  (-0.028244-0.046472j)  (-0.089955+0.000234j)  (0.047642+0.009150j)  (0.093330+0.000000j)  (0.028226-0.011290j)  (0.000442-0.069951j)  (-0.010815+0.022846j)  (-0.020284+0.051822j)  (-0.000520-0.031639j)  (-0.057024-0.008679j)  (0.036629+0.034892j)  (0.028226+0.011290j)  (0.103319+0.000000j)  (0.021452-0.049408j)  (-0.010210+0.013293j)  (-0.052695+0.038553j)  (0.006436-0.049792j)  (-0.065820-0.041963j)  (-0.014934+0.083822j)  (0.000442+0.069951j)  (0.021452+0.049408j)  (0.172603+0.000000j)  (-0.028482+0.005157j)  (-0.086569-0.044530j)  (0.083694-0.011865j)  (0.016381-0.102561j)  (0.012022-0.030022j)  (-0.010815-0.022846j)  (-0.010210-0.013293j)  (-0.028482-0.005157j)  (0.067756+0.000000j)  (0.018934+0.023656j)  (-0.024426+0.000814j)  (-0.027157+0.039223j)  (-0.020182-0.075961j)  (-0.020284-0.051822j)  (-0.052695-0.038553j)  (-0.086569+0.044530j)  (0.018934-0.023656j)  (0.148384+0.000000j)  (-0.046515+0.045537j)  (0.034029+0.103302j)  (-0.028244+0.046472j)  (-0.000520+0.031639j)  (0.006436+0.049792j)  (0.083694+0.011865j)  (-0.024426-0.000814j)  (-0.046515-0.045537j)  (0.113039+0.000000j)  (0.042582-0.084930j)  (-0.089955-0.000234j)  (-0.057024+0.008679j)  (-0.065820+0.041963j)  (0.016381+0.102561j)  (-0.027157-0.039223j)  (0.034029-0.103302j)  (0.042582+0.084930j)  (0.200500+0.000000j)
 (-0.017907-0.029971j)  (0.108995+0.009914j)  (0.017935+0.039955j)  (0.085566+0.066462j)  (0.013982-0.034022j)  (0.006510+0.072831j)  (0.002544+0.038927j)  (-0.019823+0.026340j)  (-0.016634-0.025973j)  (0.066384+0.005912j)  (0.003488+0.027823j)  (0.045587+0.057944j)  (0.019402-0.032873j)  (-0.005767+0.038757j)  (0.002777+0.022912j)  (-0.026680+0.021601j)  (0.005136-0.013180j)  (0.046751+0.059302j)  (-0.010754+0.029329j)  (0.009874+0.078347j)  (0.041941-0.009013j)  (-0.029371+0.034673j)  (-0.009954+0.013366j)  (-0.038276+0.004785j)  (0.039676-0.027917j)  (-0.033649+0.129489j)  (-0.052856-0.000788j)  (-0.109994+0.067474j)  (0.042238+0.027554j)  (-0.079398-0.011260j)  (-0.034132-0.006088j)  (-0.043480-0.038017j)  (-0.021602-0.000396j)  (0.023572-0.028655j)  (0.021790-0.008653j)  (0.036790-0.007647j)  (-0.004721-0.011696j)  (0.025336+0.011627j)  (0.014313+0.004839j)  (0.015221+0.014464j)  (-0.030997+0.029494j)  (-0.033510-0.114158j)  (0.025327-0.023582j)  (0.057474-0.100078j)  (-0.046232+0.003453j)  (0.076475-0.012327j)  (0.025973-0.023446j)  (0.033755+0.020094j)  (0.037980-0.005876j)  (-0.049263+0.092339j)  (-0.047424-0.001171j)  (-0.099819+0.025755j)  (0.033451+0.030917j)  (-0.048312-0.018355j)  (-0.034791-0.004741j)  (-0.015641-0.034276j)  (0.011324+0.044280j)  (-0.139407-0.017607j)  (-0.021602-0.065167j)  (-0.097471-0.113686j)  (-0.022070+0.064777j)  (0.002515-0.092596j)  (-0.002884-0.055639j)  (0.031349-0.053655j)
 (-0.022566+0.021553j)  (0.108187-0.005304j)  (-0.067588+0.081483j)  (-0.046219-0.042441j)  (-0.032318+0.010612j)  (0.023302-0.027973j)  (-0.048122-0.024588j)  (0.015284-0.039917j)  (-0.008873+0.000874j)  (0.064837+0.004480j)  (-0.051081+0.056404j)  (-0.036404-0.021846j)  (-0.027727+0.003730j)  (0.018633-0.026199j)  (-0.049829-0.030698j)  (0.007676-0.014534j)  (-0.024979-0.000489j)  (0.056359+0.028286j)  (-0.087064+0.026247j)  (0.001292-0.047631j)  (-0.031721-0.020646j)  (0.029985-0.005961j)  (-0.022692-0.036067j)  (0.033587-0.020588j)  (-0.008743-0.024157j)  (-0.022195+0.129028j)  (-0.083503-0.109205j)  (0.062186-0.041529j)  (-0.000707-0.053003j)  (0.044680+0.043250j)  (0.051301-0.051275j)  (0.040939+0.032668j)  (-0.002954+0.013233j)  (0.003979-0.039773j)  (0.014161+0.026206j)  (-0.019508+0.008288j)  (0.003729+0.018396j)  (-0.003418-0.014522j)  (-0.011977+0.013817j)  (-0.007479-0.020840j)  (0.016444+0.013044j)  (-0.040031-0.092342j)  (0.118797+0.032412j)  (-0.025465+0.067714j)  (0.019147+0.043136j)  (-0.055430-0.017076j)  (-0.007641+0.065674j)  (-0.042293-0.008011j)  (-0.006934-0.012477j)  (-0.034127+0.090879j)  (-0.038574-0.092367j)  (0.060044-0.017401j)  (0.004342-0.039331j)  (0.017760+0.041303j)  (0.038201-0.034875j)  (0.019415+0.027891j)  (0.013316-0.024319j)  (-0.136175+0.023823j)  (0.103729-0.114933j)  (0.067897+0.054613j)  (0.057759-0.006663j)  (-0.042177+0.048217j)  (0.071506+0.032512j)  (-0.017630+0.050754j)
 (0.062589-0.045032j)  (0.003499+0.043546j)  (0.081144+0.022160j)  (-0.020249-0.012446j)  (-0.049568-0.094911j)  (0.025471-0.064953j)  (-0.028997-0.011359j)  (0.028270-0.005453j)  (0.039514-0.028471j)  (-0.001171+0.037618j)  (0.065339+0.018438j)  (-0.004648-0.004175j)  (-0.014257-0.074423j)  (0.035598-0.030236j)  (-0.017081-0.007197j)  (0.004989-0.008307j)  (0.055786-0.003194j)  (-0.041686+0.024340j)  (0.047960+0.046150j)  (-0.000786-0.005519j)  (0.001844-0.072487j)  (0.061710-0.018922j)  (-0.011393-0.015743j)  (0.019376+0.004726j)  (0.036096+0.099092j)  (-0.056022-0.014500j)  (-0.047551+0.117623j)  (0.021828-0.022180j)  (0.100792-0.017598j)  (0.050528+0.055267j)  (0.014848-0.016437j)  (-0.003139+0.009815j)  (-0.010804-0.018369j)  (0.013042+0.011342j)  (0.019935-0.016530j)  (-0.006934-0.006041j)  (-0.032559-0.000065j)  (-0.006308-0.011203j)  (0.011663+0.015884j)  (0.009351-0.007338j)  (-0.056692-0.043310j)  (0.058498-0.025016j)  (-0.002324-0.084762j)  (-0.003467+0.011870j)  (-0.078009+0.065289j)  (-0.073984-0.017919j)  (0.000291+0.019825j)  (-0.018402-0.023831j)  (0.008591+0.075395j)  (-0.051992-0.028796j)  (-0.049078+0.064441j)  (0.015780-0.021338j)  (0.097836+0.012530j)  (0.038123+0.059165j)  (0.005018-0.012553j)  (-0.011483+0.008757j)  (-0.085012+0.062433j)  (-0.001469-0.067721j)  (-0.129306-0.042210j)  (0.015869+0.015315j)  (0.057594+0.143125j)  (-0.050340+0.068382j)  (0.019623-0.005392j)  (-0.030312+0.002783j)
 (0.000378+0.087723j)  (0.010498+0.010737j)  (0.029217-0.047117j)  (-0.029042+0.087103j)  (-0.049449+0.005205j)  (0.092260+0.036843j)  (0.000138-0.028095j)  (0.000740-0.048405j)  (-0.006903+0.057836j)  (-0.006122+0.012436j)  (0.022532-0.017118j)  (-0.029367+0.057477j)  (-0.026490+0.002439j)  (0.058484+0.040603j)  (0.002656-0.029567j)  (0.003447-0.024659j)  (-0.036998+0.044933j)  (0.007599+0.019878j)  (0.039064-0.000815j)  (-0.051937+0.035199j)  (-0.019070-0.016022j)  (0.039811+0.061613j)  (0.022665-0.022211j)  (0.010782-0.022422j)  (-0.099561-0.023291j)  (-0.019100+0.009317j)  (0.028610+0.046931j)  (-0.102299-0.069141j)  (-0.011024-0.055668j)  (-0.064309+0.099200j)  (0.034721+0.015241j)  (0.048194+0.008745j)  (0.025353+0.011880j)  (0.002370+0.006511j)  (-0.001680-0.027354j)  (0.023528+0.027245j)  (-0.011712+0.024693j)  (0.021919-0.024058j)  (-0.013332-0.005924j)  (-0.011950-0.006146j)  (0.092804-0.033003j)  (0.008141-0.010956j)  (-0.047622-0.024457j)  (0.105817+0.010003j)  (0.030775+0.044099j)  (0.006047-0.118144j)  (-0.043896+0.000918j)  (-0.036976+0.023985j)  (-0.067186-0.035575j)  (-0.017829-0.003210j)  (0.011353+0.050231j)  (-0.062376-0.064916j)  (0.015177-0.031513j)  (-0.078311+0.063135j)  (0.032467+0.008935j)  (0.043433+0.008888j)  (0.005514-0.121240j)  (-0.017826-0.023917j)  (-0.053998+0.048848j)  (0.053800-0.111088j)  (0.045348-0.017872j)  (-0.133800-0.047313j)  (-0.002246+0.050502j)  (0.007900+0.051292j)
 (-0.038130-0.064609j)  (-0.030203-0.051438j)  (-0.000158+0.018116j)  (0.030114+0.033610j)  (0.040808-0.032518j)  (-0.004953-0.014429j)  (-0.053573-0.129657j)  (-0.006098-0.073753j)  (-0.030424-0.042874j)  (-0.018493-0.038110j)  (-0.013015+0.003545j)  (0.025399+0.033788j)  (0.020007-0.026765j)  (-0.008708-0.000567j)  (-0.023926-0.092237j)  (0.003092-0.050674j)  (0.005660-0.054147j)  (0.012458-0.034025j)  (-0.010868+0.000209j)  (-0.000543+0.035327j)  (0.026027-0.001086j)  (-0.007360-0.000620j)  (0.020691-0.096365j)  (0.031715-0.027155j)  (0.099026-0.027191j)  (0.049043-0.016636j)  (-0.013772-0.008774j)  (-0.048114+0.024850j)  (0.017868+0.049323j)  (0.010242-0.004267j)  (0.164576-0.019831j)  (0.073888+0.012901j)  (-0.029516+0.014680j)  (-0.011950-0.000891j)  (0.004703+0.005392j)  (0.010997-0.012619j)  (-0.006763-0.018799j)  (-0.011255+0.008370j)  (-0.046154+0.005664j)  (-0.009785-0.011153j)  (-0.052668+0.065893j)  (-0.032790+0.035107j)  (0.015312-0.000459j)  (0.035831-0.041992j)  (-0.050774-0.026370j)  (0.005732+0.010330j)  (-0.106964+0.084217j)  (-0.058090+0.014347j)  (0.066208-0.010522j)  (0.040967+0.011570j)  (0.001765-0.003382j)  (-0.044356+0.007269j)  (0.006188+0.031273j)  (0.008834+0.001336j)  (0.122310+0.009993j)  (0.054533+0.010474j)  (0.073261+0.094505j)  (0.029218+0.061685j)  (0.002070-0.003943j)  (-0.032171-0.056036j)  (-0.042098+0.049025j)  (0.024173+0.011993j)  (0.064061+0.173046j)  (-0.001316+0.075109j)
 (-0.066025+0.004275j)  (0.050350+0.015504j)  (0.047445-0.039723j)  (-0.008834-0.033340j)  (0.115356+0.002881j)  (0.033613-0.044170j)  (-0.001976+0.022725j)  (-0.004838-0.030445j)  (-0.039678-0.000750j)  (0.029324+0.021587j)  (0.029838-0.028649j)  (-0.007368-0.024079j)  (0.085192+0.018348j)  (0.037769-0.032812j)  (-0.004304+0.014567j)  (0.005506-0.018042j)  (-0.034631-0.028422j)  (0.009495+0.036346j)  (0.052910-0.004211j)  (0.002129-0.033053j)  (0.054906+0.049899j)  (0.045268-0.014367j)  (-0.018198+0.023619j)  (0.015024-0.028483j)  (0.012709-0.079515j)  (-0.046156+0.054095j)  (0.038675+0.066271j)  (0.041247-0.015351j)  (-0.049086+0.127257j)  (0.050736+0.064549j)  (-0.031419-0.008280j)  (0.052395-0.009384j)  (0.001386+0.022755j)  (0.013264-0.012246j)  (-0.014572-0.018486j)  (-0.005662-0.008322j)  (0.025089-0.036695j)  (-0.015643-0.018201j)  (0.016116+0.008120j)  (-0.015487-0.005585j)  (0.035445+0.059242j)  (0.006463-0.062514j)  (-0.062972-0.031938j)  (-0.033798+0.022392j)  (-0.026987-0.134003j)  (-0.064686-0.022893j)  (0.033461-0.017872j)  (-0.041314+0.009009j)  (0.023531-0.058136j)  (-0.043682+0.028391j)  (0.018071+0.062868j)  (0.034087+0.000120j)  (-0.052930+0.094234j)  (0.017933+0.056107j)  (-0.027897-0.007644j)  (0.050972+0.008475j)  (0.083392-0.007627j)  (-0.067389-0.021836j)  (-0.069709+0.071417j)  (0.013330+0.039661j)  (-0.166586-0.010551j)  (-0.063631+0.071144j)  (-0.009515-0.040628j)  (0.010022+0.063106j)
 (-0.048707+0.048700j)  (0.007478+0.023375j)  (0.036543+0.034859j)  (-0.001003+0.014297j)  (0.007239+0.030373j)  (-0.017544-0.048426j)  (0.003140-0.080983j)  (-0.016066+0.116339j)  (-0.039735+0.027510j)  (0.005899+0.018301j)  (0.028824+0.019768j)  (0.000972+0.014468j)  (-0.002830+0.025358j)  (-0.008915-0.050430j)  (0.013602-0.060889j)  (-0.015417+0.081063j)  (-0.057189-0.000495j)  (-0.012572+0.009628j)  (0.009532+0.039466j)  (-0.002889+0.006207j)  (-0.021890+0.009187j)  (0.013031-0.048507j)  (0.039389-0.035690j)  (-0.072759+0.067114j)  (-0.034070-0.076143j)  (-0.026390+0.001151j)  (-0.045057+0.027449j)  (-0.006589+0.000573j)  (-0.018662-0.009968j)  (0.074802-0.010710j)  (0.105799+0.037451j)  (-0.137605-0.044788j)  (0.008644+0.008229j)  (-0.006629+0.003623j)  (0.018422-0.001852j)  (0.015491+0.001779j)  (0.007460+0.000416j)  (-0.028301+0.007307j)  (-0.023201-0.022311j)  (0.033755+0.023228j)  (0.062180+0.039392j)  (0.011098-0.000749j)  (0.011018-0.042724j)  (-0.001194-0.003337j)  (0.038264-0.011844j)  (-0.053078+0.047344j)  (-0.091379+0.018161j)  (0.144242-0.013696j)  (-0.013495-0.058864j)  (-0.022482-0.001453j)  (-0.040254+0.007264j)  (-0.010607-0.005374j)  (-0.009012-0.002478j)  (0.063910+0.009390j)  (0.062503+0.050751j)  (-0.088497-0.068661j)  (0.071234-0.052043j)  (-0.000085-0.032536j)  (-0.050180-0.051755j)  (0.003089-0.025370j)  (-0.003496-0.041508j)  (0.028454+0.066762j)  (-0.038569+0.125668j)  (0.035504-0.159038j)
 (-0.017907+0.029971j)  (-0.016634+0.025973j)  (0.005136+0.013180j)  (0.039676+0.027917j)  (-0.021602+0.000396j)  (-0.030997-0.029494j)  (0.037980+0.005876j)  (0.011324-0.044280j)  (0.108995-0.009914j)  (0.066384-0.005912j)  (0.046751-0.059302j)  (-0.033649-0.129489j)  (0.023572+0.028655j)  (-0.033510+0.114158j)  (-0.049263-0.092339j)  (-0.139407+0.017607j)  (0.017935-0.039955j)  (0.003488-0.027823j)  (-0.010754-0.029329j)  (-0.052856+0.000788j)  (0.021790+0.008653j)  (0.025327+0.023582j)  (-0.047424+0.001171j)  (-0.021602+0.065167j)  (0.085566-0.066462j)  (0.045587-0.057944j)  (0.009874-0.078347j)  (-0.109994-0.067474j)  (0.036790+0.007647j)  (0.057474+0.100078j)  (-0.099819-0.025755j)  (-0.097471+0.113686j)  (0.013982+0.034022j)  (0.019402+0.032873j)  (0.041941+0.009013j)  (0.042238-0.027554j)  (-0.004721+0.011696j)  (-0.046232-0.003453j)  (0.033451-0.030917j)  (-0.022070-0.064777j)  (0.006510-0.072831j)  (-0.005767-0.038757j)  (-0.029371-0.034673j)  (-0.079398+0.011260j)  (0.025336-0.011627j)  (0.076475+0.012327j)  (-0.048312+0.018355j)  (0.002515+0.092596j)  (0.002544-0.038927j)  (0.002777-0.022912j)  (-0.009954-0.013366j)  (-0.034132+0.006088j)  (0.014313-0.004839j)  (0.025973+0.023446j)  (-0.034791+0.004741j)  (-0.002884+0.055639j)  (-0.019823-0.026340j)  (-0.026680-0.021601j)  (-0.038276-0.004785j)  (-0.043480+0.038017j)  (0.015221-0.014464j)  (0.033755-0.020094j)  (-0.015641+0.034276j)  (0.031349+0.053655j)
 (0.080082+0.000000j)  (-0.026470+0.045446j)  (-0.020732+0.010441j)  (-0.056035+0.017919j)  (0.017210+0.017438j)  (-0.025849-0.021429j)  (-0.028721-0.002460j)  (-0.007749-0.011161j)  (-0.026470-0.045446j)  (0.228781+0.000000j)  (0.031533+0.058809j)  (0.123331+0.112252j)  (0.027763-0.066993j)  (0.000600+0.095911j)  (0.005270+0.056725j)  (-0.033100+0.050063j)  (-0.020732-0.010441j)  (0.031533-0.058809j)  (0.080804+0.000000j)  (0.069746-0.023639j)  (-0.025846-0.017858j)  (0.041398+0.010176j)  (0.020646+0.006304j)  (0.027152+0.020892j)  (-0.056035-0.017919j)  (0.123331-0.112252j)  (0.069746+0.023639j)  (0.219335+0.000000j)  (-0.023251-0.065865j)  (0.067709+0.072258j)  (0.040347+0.025549j)  (0.016025+0.073930j)  (0.017210-0.017438j)  (0.027763+0.066993j)  (-0.025846+0.017858j)  (-0.023251+0.065865j)  (0.088432+0.000000j)  (-0.044601+0.010250j)  (-0.013782+0.010810j)  (-0.016731-0.002807j)  (-0.025849+0.021429j)  (0.000600-0.095911j)  (0.041398-0.010176j)  (0.067709-0.072258j)  (-0.044601-0.010250j)  (0.121177+0.000000j)  (0.029377-0.005808j)  (0.031564+0.015755j)  (-0.028721+0.002460j)  (0.005270-0.056725j)  (0.020646-0.006304j)  (0.040347-0.025549j)  (-0.013782-0.010810j)  (0.029377+0.005808j)  (0.076049+0.000000j)  (0.011781+0.013635j)  (-0.007749+0.011161j)  (-0.033100-0.050063j)  (0.027152-0.020892j)  (0.016025-0.073930j)  (-0.016731+0.002807j)  (0.031564-0.015755j)  (0.011781-0.013635j)  (0.085305+0.000000j)
 (-0.008026-0.019138j)  (-0.021448+0.041876j)  (-0.020389-0.049205j)  (0.028287-0.010638j)  (0.000978-0.016725j)  (-0.003227+0.039893j)  (0.031540-0.008964j)  (0.009499+0.014714j)  (-0.023580+0.034081j)  (0.160347-0.030307j)  (-0.096868+0.139171j)  (-0.084821-0.061582j)  (-0.072222+0.015394j)  (0.040689-0.068610j)  (-0.081696-0.009997j)  (0.020343-0.068472j)  (0.015521+0.013469j)  (0.017636-0.059518j)  (0.029107+0.071685j)  (-0.039505+0.026802j)  (0.005241+0.033430j)  (-0.010185-0.021433j)  (-0.034377+0.026563j)  (-0.017706-0.019380j)  (0.008972+0.028524j)  (0.098631-0.117917j)  (0.018465+0.172172j)  (-0.104102+0.008069j)  (-0.029213+0.053404j)  (0.000848-0.077823j)  (-0.084080+0.039127j)  (-0.033303-0.060594j)  (-0.014627-0.009319j)  (0.029343+0.048353j)  (-0.077520-0.017120j)  (0.010327-0.036657j)  (-0.019055-0.020197j)  (0.024184+0.013909j)  (0.003401-0.045757j)  (0.018463-0.007313j)  (0.025349+0.011147j)  (-0.004168-0.099038j)  (0.080707+0.051273j)  (-0.045387+0.039672j)  (0.015203+0.042621j)  (-0.035882-0.026767j)  (-0.007829+0.040076j)  (-0.037205-0.018175j)  (-0.004849-0.001862j)  (0.002389-0.044942j)  (0.031208+0.033369j)  (-0.024636+0.019278j)  (0.002874+0.017328j)  (-0.008944-0.025323j)  (-0.015179+0.017950j)  (-0.007725-0.001921j)  (0.012611-0.005979j)  (-0.020856-0.043983j)  (0.062964+0.009165j)  (0.001089+0.049834j)  (0.024842+0.027935j)  (-0.031482-0.009992j)  (0.012146+0.023929j)  (-0.027427+0.000326j)
