 (0.083112+0.000000j)  (0.005402-0.015047j)  (-0.057787-0.017680j)  (-0.019919+0.004042j)  (0.005909+0.019140j)  (0.005595+0.070276j)  (-0.015661-0.015430j)  (0.030900-0.034199j)  (0.005402+0.015047j)  (0.067111+0.000000j)  (0.017067-0.025923j)  (0.000757-0.011605j)  (-0.014485-0.013112j)  (-0.035086-0.006753j)  (0.005970+0.002928j)  (0.010747+0.017012j)  (-0.057787+0.017680j)  (0.017067+0.025923j)  (0.170897+0.000000j)  (0.052789-0.017810j)  (-0.014393-0.017873j)  (-0.050022-0.139537j)  (0.057131+0.010420j)  (-0.047093+0.095822j)  (-0.019919-0.004042j)  (0.000757+0.011605j)  (0.052789+0.017810j)  (0.095042+0.000000j)  (0.002053-0.009326j)  (-0.001407-0.087052j)  (0.027325+0.018173j)  (-0.036736+0.041023j)  (0.005909-0.019140j)  (-0.014485+0.013112j)  (-0.014393+0.017873j)  (0.002053+0.009326j)  (0.075396+0.000000j)  (0.042793+0.012270j)  (-0.013937+0.002278j)  (-0.019810-0.029007j)  (0.005595-0.070276j)  (-0.035086+0.006753j)  (-0.050022+0.139537j)  (-0.001407+0.087052j)  (0.042793-0.012270j)  (0.267239+0.000000j)  (-0.045021+0.063162j)  (-0.096355-0.104192j)  (-0.015661+0.015430j)  (0.005970-0.002928j)  (0.057131-0.010420j)  (0.027325-0.018173j)  (-0.013937-0.002278j)  (-0.045021-0.063162j)  (0.082677+0.000000j)  (-0.012979+0.048318j)  (0.030900+0.034199j)  (0.010747-0.017012j)  (-0.047093-0.095822j)  (-0.036736-0.041023j)  (-0.019810+0.029007j)  (-0.096355+0.104192j)  (-0.012979-0.048318j)  (0.151915+0.000000j)
 (0.018984-0.007590j)  (-0.004090-0.060884j)  (0.045481+0.004265j)  (-0.012860+0.001015j)  (-0.059951+0.035905j)  (0.042132-0.025601j)  (-0.006451+0.005837j)  (0.043439+0.002842j)  (-0.000699+0.018716j)  (0.033483+0.000316j)  (0.003456+0.015870j)  (0.007685+0.002840j)  (-0.006654-0.032858j)  (0.005795+0.028358j)  (-0.008750+0.004619j)  (0.006949+0.013918j)  (-0.024652+0.027425j)  (0.069604+0.111267j)  (-0.080599+0.042838j)  (0.010616+0.002992j)  (0.100740-0.101895j)  (-0.069378+0.063732j)  (0.008554-0.017956j)  (-0.070956+0.029378j)  (-0.018847+0.000475j)  (0.001997+0.071137j)  (-0.042796+0.005282j)  (0.001106+0.007860j)  (0.064064-0.028208j)  (-0.036683+0.016510j)  (0.008748-0.010632j)  (-0.041090-0.006547j)  (-0.006036-0.011407j)  (-0.043512+0.008955j)  (0.009914-0.025190j)  (0.008714+0.000871j)  (0.007279+0.045325j)  (-0.014920-0.029032j)  (0.002134-0.001276j)  (-0.002620-0.024444j)  (-0.012733-0.042048j)  (-0.162923+0.021222j)  (-0.001780-0.116411j)  (-0.003960+0.014339j)  (0.085123+0.186025j)  (-0.041847-0.100216j)  (0.012568+0.019163j)  (-0.016668-0.109298j)  (0.002251+0.016867j)  (0.031627+0.048707j)  (-0.038710+0.033595j)  (0.007081+0.009265j)  (0.048274-0.044675j)  (-0.023029+0.033067j)  (0.003148-0.006970j)  (-0.029318+0.011789j)  (0.042798+0.006367j)  (0.061188-0.093068j)  (0.059553+0.046854j)  (-0.006835-0.006398j)  (-0.123778-0.036560j)  (0.061961+0.029221j)  (-0.021022+0.008558j)  (0.048728+0.033729j)
 (-0.014975-0.005305j)  (0.020123-0.050080j)  (-0.005877-0.022818j)  (-0.016797+0.021258j)  (0.010833-0.041151j)  (-0.044996-0.022571j)  (-0.051324+0.075154j)  (-0.002101-0.012665j)  (-0.004181-0.000924j)  (0.012611+0.013549j)  (0.012632-0.001624j)  (-0.006040-0.009086j)  (0.025907+0.004076j)  (0.008883-0.023230j)  (-0.017114-0.026290j)  (-0.002460-0.006268j)  (0.027402+0.014593j)  (-0.004766+0.105952j)  (0.031245+0.027751j)  (0.011736-0.037166j)  (-0.004159+0.065636j)  (0.082766+0.018366j)  (0.055827-0.161698j)  (0.006408+0.029737j)  (0.005643+0.013040j)  (-0.024323+0.057997j)  (0.005227+0.015031j)  (0.003837-0.012969j)  (-0.007160+0.041149j)  (0.047970+0.035543j)  (0.041830-0.062716j)  (-0.002137+0.027184j)  (0.002555-0.010006j)  (-0.022047-0.012405j)  (-0.017942+0.004283j)  (0.002593+0.003714j)  (-0.025896-0.006791j)  (-0.015981+0.013491j)  (0.033175+0.039028j)  (-0.004292-0.007242j)  (-0.035963+0.024576j)  (-0.121337-0.058811j)  (-0.047298+0.028046j)  (0.054269+0.029055j)  (-0.091422-0.027640j)  (-0.075640+0.113783j)  (0.194199+0.142426j)  (-0.041497-0.019662j)  (0.007189+0.005976j)  (0.007864+0.063825j)  (0.009760+0.011605j)  (-0.019199-0.013927j)  (0.002976+0.037832j)  (0.040793-0.002981j)  (0.007408-0.079092j)  (-0.001780+0.011663j)  (-0.000859-0.026976j)  (0.093111-0.040927j)  (-0.012396-0.038727j)  (-0.040354+0.016561j)  (0.049828-0.043427j)  (-0.016498-0.084648j)  (-0.149562+0.029643j)  (0.015905-0.007715j)
 (0.066911-0.009595j)  (0.000588+0.024761j)  (0.051631-0.005869j)  (-0.060004+0.002594j)  (0.010121-0.020653j)  (-0.024145+0.013665j)  (0.031091+0.008476j)  (-0.019547-0.021373j)  (0.006463+0.028417j)  (-0.001847+0.014652j)  (0.003179+0.024035j)  (-0.006902-0.028392j)  (0.016288+0.008166j)  (0.010754-0.005345j)  (-0.007505+0.012124j)  (0.014755-0.004603j)  (-0.108389+0.065840j)  (-0.022752-0.034753j)  (-0.092889+0.044642j)  (0.124778-0.071700j)  (-0.014529+0.037195j)  (0.049688-0.007540j)  (-0.072082-0.002890j)  (0.031260+0.028341j)  (-0.060197+0.019987j)  (-0.024159-0.025377j)  (-0.049275-0.000884j)  (0.081234-0.014092j)  (-0.013084+0.007501j)  (0.020533-0.016531j)  (-0.039345-0.027894j)  (0.011324+0.013566j)  (-0.010298-0.050035j)  (0.004910-0.009801j)  (-0.006104-0.034013j)  (0.001490+0.040798j)  (-0.007693-0.014016j)  (0.008351+0.010620j)  (0.013941-0.023331j)  (-0.029674-0.002246j)  (-0.053550-0.171425j)  (0.059882-0.026890j)  (0.003323-0.136543j)  (0.033821+0.201172j)  (-0.054000-0.028384j)  (0.014756+0.044719j)  (0.045446-0.091549j)  (-0.055086+0.034508j)  (-0.046576+0.038063j)  (-0.012841-0.016952j)  (-0.042351+0.023197j)  (0.050856-0.064710j)  (-0.002311+0.025576j)  (0.013701-0.000379j)  (-0.043023-0.000624j)  (0.025709+0.005681j)  (0.113447+0.067382j)  (-0.014160+0.056953j)  (0.080523+0.057114j)  (-0.111173-0.063090j)  (0.025062-0.010918j)  (-0.015305-0.006358j)  (0.018884+0.067278j)  (0.000820-0.037752j)
 (-0.062827-0.025918j)  (0.027508+0.029354j)  (0.021515-0.004234j)  (-0.023424-0.045597j)  (-0.046784-0.003515j)  (0.000956+0.019391j)  (-0.007943+0.004087j)  (-0.022424-0.063331j)  (0.008551-0.040841j)  (-0.012738+0.006746j)  (0.006755+0.019510j)  (0.010691-0.005472j)  (0.003162-0.022205j)  (-0.015295+0.002164j)  (0.003265+0.011444j)  (0.032799-0.008654j)  (0.142769-0.011982j)  (-0.071156-0.031993j)  (-0.041003+0.030842j)  (0.071696+0.062705j)  (0.075637-0.028170j)  (-0.002839-0.029056j)  (0.015917-0.010342j)  (0.073144+0.101500j)  (0.065003+0.010764j)  (-0.033583-0.026751j)  (-0.019555+0.004622j)  (0.023017+0.040313j)  (0.049565-0.008343j)  (0.002020-0.019667j)  (-0.005966-0.002880j)  (0.018538+0.064843j)  (-0.008233+0.025881j)  (0.021653-0.011254j)  (-0.018922-0.017154j)  (-0.026358+0.003235j)  (-0.007588+0.024313j)  (0.008341+0.002660j)  (-0.015140+0.002551j)  (-0.040618-0.000977j)  (-0.044607+0.176534j)  (0.060362-0.069371j)  (-0.011925-0.045412j)  (-0.095396+0.050378j)  (0.009040+0.110005j)  (0.042992+0.016328j)  (0.002230+0.011142j)  (-0.160175+0.056845j)  (0.072999-0.011329j)  (-0.033074-0.005688j)  (-0.001429+0.012209j)  (0.041349+0.019624j)  (0.036781-0.022702j)  (-0.004194-0.018033j)  (0.014443-0.004130j)  (0.038709+0.037673j)  (-0.080944-0.109928j)  (0.007455+0.070165j)  (0.030433+0.011977j)  (0.023725-0.075386j)  (-0.059785-0.047669j)  (-0.023645+0.006457j)  (-0.003491-0.009366j)  (0.031123-0.104000j)
 (0.000493-0.005287j)  (-0.039619+0.021895j)  (-0.003723-0.056858j)  (0.027798-0.020369j)  (-0.014756-0.026215j)  (0.035585+0.027477j)  (-0.015395+0.030887j)  (-0.011920+0.023688j)  (0.003573+0.007133j)  (-0.019551-0.014451j)  (0.030093-0.007122j)  (0.011718+0.003905j)  (0.011087-0.010153j)  (-0.006446+0.013788j)  (-0.028162+0.000185j)  (-0.004063-0.015444j)  (-0.005739+0.006836j)  (0.048774-0.081640j)  (0.030823+0.135491j)  (0.010301+0.061014j)  (0.033452+0.041189j)  (-0.091115-0.021482j)  (0.016581-0.082923j)  (0.012550-0.071630j)  (-0.013409+0.007581j)  (0.030849-0.032387j)  (-0.026111+0.072057j)  (-0.005046+0.033425j)  (0.016181+0.025395j)  (-0.038034-0.021782j)  (0.030419-0.042748j)  (0.025658-0.042633j)  (-0.003406-0.003919j)  (0.007983+0.014460j)  (-0.028129-0.005884j)  (-0.006590-0.010731j)  (-0.009001-0.000205j)  (0.022490-0.018408j)  (0.018120+0.013945j)  (0.015112+0.007621j)  (-0.006308-0.016002j)  (0.087535+0.094660j)  (-0.151771-0.031752j)  (-0.075103-0.030341j)  (-0.072590+0.033907j)  (0.072472-0.118222j)  (0.111489+0.060376j)  (0.094343+0.059745j)  (-0.001887+0.010918j)  (0.013819-0.040104j)  (0.021586+0.056659j)  (0.009106+0.031282j)  (0.026571+0.020594j)  (-0.051514-0.010730j)  (0.013595-0.044799j)  (-0.003977-0.044446j)  (0.013645+0.002954j)  (-0.098244+0.000001j)  (0.083042-0.078360j)  (0.044195-0.029749j)  (0.012537-0.042374j)  (0.020416+0.093636j)  (-0.082319+0.024841j)  (-0.072860+0.018537j)
 (0.014286+0.071056j)  (0.005862+0.049209j)  (0.028042-0.022448j)  (0.035275+0.046588j)  (-0.017251+0.000084j)  (-0.004971-0.000466j)  (-0.007963+0.014301j)  (0.032694-0.039645j)  (-0.027957+0.007675j)  (-0.027429-0.000888j)  (-0.002606+0.010803j)  (-0.032713+0.012599j)  (-0.000075-0.009759j)  (-0.004526-0.003079j)  (0.005078-0.007142j)  (0.014939+0.008243j)  (-0.057349-0.098831j)  (-0.032147-0.101938j)  (-0.033838+0.031119j)  (-0.122377-0.090552j)  (0.051133+0.011563j)  (0.007269-0.000132j)  (0.035995-0.021479j)  (-0.018711+0.091399j)  (-0.022680-0.052909j)  (0.002596-0.054948j)  (-0.028380+0.014147j)  (-0.030828-0.070150j)  (0.026915+0.002218j)  (-0.006924+0.012739j)  (0.018303-0.013570j)  (-0.036488+0.046102j)  (0.042904+0.005556j)  (0.027674-0.004204j)  (-0.003128+0.005436j)  (0.033487-0.015213j)  (-0.003094+0.004162j)  (0.012204+0.004416j)  (0.003401+0.003956j)  (-0.025324-0.010989j)  (0.157897-0.039324j)  (0.139164-0.008868j)  (-0.046613-0.039270j)  (0.155333-0.101028j)  (-0.021061+0.050175j)  (-0.028198+0.000587j)  (0.018106+0.033408j)  (-0.096195-0.065667j)  (-0.036873-0.027872j)  (-0.024112-0.033100j)  (-0.004422+0.020806j)  (-0.051129-0.029811j)  (0.020708-0.002707j)  (0.004605+0.013428j)  (0.008410-0.005134j)  (0.000191+0.042658j)  (-0.057974+0.095152j)  (-0.053640+0.070502j)  (0.028578+0.011881j)  (-0.013459+0.125859j)  (-0.016779-0.051156j)  (0.010713-0.005648j)  (-0.027044-0.017120j)  (0.088171-0.023180j)
 (-0.027375-0.005836j)  (0.027499+0.010522j)  (0.036259+0.005346j)  (0.026730+0.004366j)  (0.047269+0.050695j)  (0.012447+0.042844j)  (0.020762+0.055190j)  (0.026469+0.003134j)  (0.004794-0.014249j)  (0.001860+0.018268j)  (-0.014894+0.017045j)  (0.001406+0.006462j)  (-0.017276+0.022386j)  (-0.023929+0.001233j)  (-0.019481+0.020596j)  (0.002027+0.015237j)  (0.050859+0.006264j)  (-0.075943+0.008398j)  (-0.085668+0.007472j)  (-0.045654+0.008722j)  (-0.119010-0.050268j)  (-0.050840-0.062883j)  (-0.073865-0.070861j)  (-0.081035-0.001019j)  (0.026845+0.014566j)  (-0.045984-0.001178j)  (-0.045253+0.000664j)  (-0.025387-0.012344j)  (-0.050626-0.048587j)  (-0.023252-0.045623j)  (-0.031347-0.055924j)  (-0.041913-0.006529j)  (-0.001236+0.014727j)  (0.011199-0.007692j)  (0.004282-0.020251j)  (0.004002+0.004652j)  (0.024479-0.022242j)  (0.014203-0.011197j)  (0.037671-0.012392j)  (-0.003462-0.009834j)  (-0.039303+0.065339j)  (0.019880-0.105927j)  (0.026450-0.104075j)  (0.018090-0.051963j)  (0.102963-0.140974j)  (0.098027-0.042867j)  (0.124460-0.059218j)  (0.015930-0.113484j)  (0.018081-0.003022j)  (-0.036189+0.011435j)  (-0.032155+0.012936j)  (-0.023651+0.000617j)  (-0.066166-0.010963j)  (-0.032477-0.030970j)  (-0.031467-0.035529j)  (-0.039820+0.002168j)  (-0.009529-0.043453j)  (0.037892+0.047940j)  (0.043500+0.057138j)  (0.027519+0.040752j)  (0.017518+0.115583j)  (-0.027670+0.062384j)  (-0.040739+0.090629j)  (0.047280+0.058798j)
 (0.018984+0.007590j)  (-0.000699-0.018716j)  (-0.024652-0.027425j)  (-0.018847-0.000475j)  (-0.006036+0.011407j)  (-0.012733+0.042048j)  (0.002251-0.016867j)  (0.042798-0.006367j)  (-0.004090+0.060884j)  (0.033483-0.000316j)  (0.069604-0.111267j)  (0.001997-0.071137j)  (-0.043512-0.008955j)  (-0.162923-0.021222j)  (0.031627-0.048707j)  (0.061188+0.093068j)  (0.045481-0.004265j)  (0.003456-0.015870j)  (-0.080599-0.042838j)  (-0.042796-0.005282j)  (0.009914+0.025190j)  (-0.001780+0.116411j)  (-0.038710-0.033595j)  (0.059553-0.046854j)  (-0.012860-0.001015j)  (0.007685-0.002840j)  (0.010616-0.002992j)  (0.001106-0.007860j)  (0.008714-0.000871j)  (-0.003960-0.014339j)  (0.007081-0.009265j)  (-0.006835+0.006398j)  (-0.059951-0.035905j)  (-0.006654+0.032858j)  (0.100740+0.101895j)  (0.064064+0.028208j)  (0.007279-0.045325j)  (0.085123-0.186025j)  (0.048274+0.044675j)  (-0.123778+0.036560j)  (0.042132+0.025601j)  (0.005795-0.028358j)  (-0.069378-0.063732j)  (-0.036683-0.016510j)  (-0.014920+0.029032j)  (-0.041847+0.100216j)  (-0.023029-0.033067j)  (0.061961-0.029221j)  (-0.006451-0.005837j)  (-0.008750-0.004619j)  (0.008554+0.017956j)  (0.008748+0.010632j)  (0.002134+0.001276j)  (0.012568-0.019163j)  (0.003148+0.006970j)  (-0.021022-0.008558j)  (0.043439-0.002842j)  (0.006949-0.013918j)  (-0.070956-0.029378j)  (-0.041090+0.006547j)  (-0.002620+0.024444j)  (-0.016668+0.109298j)  (-0.029318-0.011789j)  (0.048728-0.033729j)
 (0.075400+0.000000j)  (0.013502-0.042959j)  (0.029264+0.008574j)  (-0.003859-0.002031j)  (-0.050429+0.001156j)  (0.035182+0.008908j)  (-0.000875+0.002263j)  (0.016769+0.008249j)  (0.013502+0.042959j)  (0.198890+0.000000j)  (-0.006631+0.097346j)  (0.005526-0.010953j)  (-0.048440-0.148976j)  (0.024588+0.095920j)  (-0.013181-0.019962j)  (0.003420+0.078996j)  (0.029264-0.008574j)  (-0.006631-0.097346j)  (0.127945+0.000000j)  (-0.003953-0.006457j)  (-0.101648+0.024305j)  (0.065296-0.023430j)  (-0.012530+0.015788j)  (0.062771-0.008659j)  (-0.003859+0.002031j)  (0.005526+0.010953j)  (-0.003953+0.006457j)  (0.051062+0.000000j)  (0.009943-0.021620j)  (-0.012435+0.003957j)  (0.001182-0.001708j)  (-0.009792-0.002799j)  (-0.050429-0.001156j)  (-0.048440+0.148976j)  (-0.101648-0.024305j)  (0.009943+0.021620j)  (0.241413+0.000000j)  (-0.109063-0.000104j)  (0.009243+0.001902j)  (-0.094937-0.026035j)  (0.035182-0.008908j)  (0.024588-0.095920j)  (0.065296+0.023430j)  (-0.012435-0.003957j)  (-0.109063+0.000104j)  (0.117165+0.000000j)  (-0.011492+0.004881j)  (0.067132+0.013525j)  (-0.000875-0.002263j)  (-0.013181+0.019962j)  (-0.012530-0.015788j)  (0.001182+0.001708j)  (0.009243-0.001902j)  (-0.011492-0.004881j)  (0.057843+0.000000j)  (-0.005516-0.005121j)  (0.016769-0.008249j)  (0.003420-0.078996j)  (0.062771+0.008659j)  (-0.009792+0.002799j)  (-0.094937+0.026035j)  (0.067132-0.013525j)  (-0.005516+0.005121j)  (0.121635+0.000000j)
 (-0.007292-0.015697j)  (0.035819-0.029486j)  (-0.009626-0.013265j)  (-0.024860+0.015134j)  (0.027387-0.013255j)  (-0.022758-0.022295j)  (-0.051614+0.034179j)  (0.005067-0.006821j)  (0.018837-0.013419j)  (0.092927+0.059586j)  (0.044911-0.011117j)  (-0.036646-0.021717j)  (0.068623+0.029803j)  (0.071389-0.086837j)  (-0.117463-0.136351j)  (0.034449+0.017364j)  (-0.004350-0.007543j)  (0.038621-0.071478j)  (-0.015917-0.044320j)  (-0.023369+0.026366j)  (0.022514-0.040122j)  (-0.063021-0.049828j)  (-0.091420+0.104007j)  (0.010198-0.033155j)  (-0.000497+0.009562j)  (0.002234+0.007825j)  (-0.000613+0.008134j)  (-0.001453-0.011832j)  (0.004999-0.005795j)  (0.013096+0.000139j)  (0.003533-0.015031j)  (0.000515+0.001770j)  (0.009463+0.027257j)  (-0.100031+0.082111j)  (0.012644+0.052816j)  (0.041786-0.013355j)  (-0.065306+0.060868j)  (0.058187+0.115101j)  (0.200125-0.105465j)  (-0.022795+0.023471j)  (-0.015407-0.015062j)  (0.047099-0.049339j)  (0.012840-0.034471j)  (-0.025354+0.006664j)  (0.034402-0.033523j)  (-0.036650-0.057093j)  (-0.105338+0.061513j)  (0.016489-0.020931j)  (0.004876+0.010892j)  (-0.015010+0.002849j)  (-0.006503+0.011237j)  (-0.004708-0.008169j)  (-0.007120+0.005051j)  (0.000244+0.009522j)  (0.021177+0.000302j)  (-0.011352+0.008595j)  (-0.005332-0.023571j)  (0.032122-0.066764j)  (-0.011682-0.040027j)  (-0.016994+0.011421j)  (0.010548-0.035974j)  (-0.039585-0.036099j)  (-0.082311+0.087307j)  (0.000442-0.013303j)
