 (0.152201+0.000000j)  (-0.002964+0.027455j)  (-0.064403+0.037728j)  (0.025736-0.088837j)  (-0.069958-0.003332j)  (-0.035633+0.053132j)  (-0.002654-0.043160j)  (-0.004664+0.007738j)  (-0.002964-0.027455j)  (0.076137+0.000000j)  (0.021353+0.008389j)  (-0.027656-0.009246j)  (-0.009764+0.020149j)  (0.014183+0.013098j)  (-0.006972+0.007294j)  (0.008345-0.000980j)  (-0.064403-0.037728j)  (0.021353-0.008389j)  (0.132293+0.000000j)  (-0.063000+0.049249j)  (0.050102+0.030592j)  (0.066948-0.024330j)  (-0.010825+0.031348j)  (0.000994-0.004398j)  (0.025736+0.088837j)  (-0.027656+0.009246j)  (-0.063000-0.049249j)  (0.183642+0.000000j)  (-0.030195-0.068281j)  (-0.068398-0.028470j)  (0.045136-0.019035j)  (-0.019127+0.016405j)  (-0.069958+0.003332j)  (-0.009764-0.020149j)  (0.050102-0.030592j)  (-0.030195+0.068281j)  (0.136910+0.000000j)  (0.040804-0.051863j)  (-0.006116+0.024480j)  (-0.001383-0.012255j)  (-0.035633-0.053132j)  (0.014183-0.013098j)  (0.066948+0.024330j)  (-0.068398+0.028470j)  (0.040804+0.051863j)  (0.138412+0.000000j)  (-0.014847+0.022466j)  (0.007003-0.011661j)  (-0.002654+0.043160j)  (-0.006972-0.007294j)  (-0.010825-0.031348j)  (0.045136+0.019035j)  (-0.006116-0.024480j)  (-0.014847-0.022466j)  (0.076753+0.000000j)  (-0.000622+0.008250j)  (-0.004664-0.007738j)  (0.008345+0.000980j)  (0.000994+0.004398j)  (-0.019127-0.016405j)  (-0.001383+0.012255j)  (0.007003+0.011661j)  (-0.000622-0.008250j)  (0.081791+0.000000j)
 (0.014400+0.075872j)  (-0.078191+0.007215j)  (-0.055092-0.010818j)  (-0.050813+0.032349j)  (0.018260+0.062023j)  (0.023756+0.035904j)  (-0.023798-0.010312j)  (-0.033474+0.005805j)  (0.020598-0.015813j)  (0.009601+0.028968j)  (-0.005343+0.022106j)  (0.013719+0.025345j)  (0.021066-0.009746j)  (0.015211-0.004804j)  (-0.007358+0.000384j)  (-0.006400+0.016777j)  (0.028203-0.083012j)  (0.059692+0.029198j)  (0.040218+0.031929j)  (0.050518-0.006526j)  (0.012734-0.060355j)  (-0.003475-0.041851j)  (0.011507+0.027389j)  (0.014923+0.022770j)  (-0.090023+0.056743j)  (-0.050379-0.071244j)  (-0.024443-0.067973j)  (-0.074187-0.041531j)  (-0.068672+0.048559j)  (-0.024530+0.048006j)  (-0.007294-0.030985j)  (0.009428-0.046145j)  (-0.003944-0.073968j)  (0.072343-0.013380j)  (0.044595-0.003572j)  (0.040352-0.052818j)  (-0.011394-0.059465j)  (-0.024754-0.025532j)  (0.017943+0.020548j)  (0.024946+0.012299j)  (0.036966-0.072445j)  (0.057031+0.037156j)  (0.038275+0.045063j)  (0.065838+0.010400j)  (0.021170-0.056173j)  (0.010418-0.042145j)  (0.002468+0.018910j)  (0.032510+0.023004j)  (-0.036296+0.004750j)  (-0.016224-0.029898j)  (-0.008015-0.009535j)  (-0.014399-0.026628j)  (-0.027739+0.005122j)  (-0.007915+0.009755j)  (0.007015+0.001051j)  (0.024363-0.014899j)  (0.020203-0.010752j)  (-0.010737+0.024227j)  (0.005969+0.009595j)  (0.006081+0.008778j)  (0.013109-0.004206j)  (0.005260+0.000508j)  (-0.013968+0.010439j)  (-0.005516-0.002438j)
 (-0.014146+0.003640j)  (-0.011163-0.003795j)  (0.011494-0.003107j)  (0.033773-0.072539j)  (0.056925+0.010016j)  (0.036995-0.036846j)  (0.012688-0.083176j)  (-0.092956-0.009070j)  (0.000720-0.006119j)  (-0.008022+0.010794j)  (-0.001282-0.014166j)  (-0.018270-0.017159j)  (0.005470-0.007570j)  (-0.007632-0.008379j)  (-0.032125-0.002698j)  (0.004866+0.040452j)  (0.022516+0.001804j)  (0.012163+0.023242j)  (-0.019095+0.000390j)  (-0.063322+0.041516j)  (-0.050837-0.043751j)  (-0.041775+0.002553j)  (-0.061552+0.049569j)  (0.054547+0.071753j)  (-0.003703-0.026775j)  (-0.004697-0.026992j)  (0.016681+0.018141j)  (0.097634+0.000697j)  (0.001375+0.076467j)  (0.055856+0.013509j)  (0.087248-0.023842j)  (-0.016333-0.114241j)  (0.007033-0.004135j)  (0.016845-0.010145j)  (-0.002364+0.005139j)  (-0.037568+0.064598j)  (-0.057857-0.003618j)  (-0.033127+0.038206j)  (-0.016651+0.069514j)  (0.089397+0.016395j)  (0.010080+0.018071j)  (0.006559+0.014192j)  (-0.024928+0.006396j)  (-0.075478+0.025926j)  (-0.029237-0.049292j)  (-0.039667-0.008999j)  (-0.064069+0.036824j)  (0.039185+0.073828j)  (0.004729-0.010555j)  (0.005545-0.006065j)  (0.004326+0.011918j)  (0.024699+0.016123j)  (-0.008075+0.021365j)  (0.014839+0.009907j)  (0.027042+0.005376j)  (0.004526-0.040834j)  (-0.002840+0.001308j)  (0.005453-0.005877j)  (0.000412-0.013778j)  (-0.011916-0.015699j)  (-0.001162-0.010193j)  (-0.013964-0.014069j)  (-0.009675+0.000393j)  (-0.019335+0.030602j)
 (-0.005518+0.037401j)  (0.055932+0.039891j)  (-0.005603+0.032257j)  (-0.028970+0.036900j)  (0.003677-0.010998j)  (-0.034413-0.016585j)  (-0.038567-0.075571j)  (0.014055-0.092747j)  (0.005011+0.000206j)  (0.008866-0.028270j)  (0.016380-0.011731j)  (0.013237+0.009664j)  (-0.014580-0.009217j)  (-0.012037+0.004782j)  (-0.013681+0.017397j)  (-0.043953-0.001736j)  (0.029805-0.017270j)  (-0.036933-0.085255j)  (0.029425-0.022014j)  (0.044525-0.021633j)  (-0.011239+0.014214j)  (0.005261+0.046305j)  (-0.011818+0.074902j)  (-0.055776+0.077894j)  (-0.033069-0.006481j)  (-0.039868+0.081531j)  (-0.049463+0.014589j)  (-0.043216-0.014225j)  (-0.001373-0.010893j)  (0.014717-0.058851j)  (0.067082-0.082492j)  (0.120866-0.038962j)  (0.004249-0.023757j)  (-0.052318-0.033808j)  (0.004717-0.036200j)  (0.027559-0.026857j)  (0.010325+0.010095j)  (0.041007+0.007080j)  (0.034896+0.078954j)  (-0.017000+0.084406j)  (0.027031-0.014068j)  (-0.012820-0.071517j)  (0.021845-0.011894j)  (0.029542+0.000071j)  (-0.007644+0.007405j)  (0.004860+0.044100j)  (-0.017384+0.078330j)  (-0.071185+0.053211j)  (-0.005679-0.016512j)  (-0.011901+0.026915j)  (-0.020318-0.017915j)  (-0.012277-0.002440j)  (0.002071+0.006340j)  (0.008242-0.009579j)  (0.026031-0.008638j)  (0.041821+0.009353j)  (0.010628+0.005815j)  (0.020244-0.004164j)  (0.016102+0.013325j)  (0.010625+0.009648j)  (-0.004423-0.001735j)  (-0.005372+0.001784j)  (-0.011961+0.014222j)  (-0.017203-0.017089j)
 (-0.014595+0.037445j)  (0.063710+0.090528j)  (0.011721-0.069569j)  (0.012740-0.025196j)  (0.002330+0.060916j)  (-0.034493+0.017761j)  (0.001027+0.021669j)  (0.007745+0.028863j)  (0.004605+0.006053j)  (0.019759-0.012283j)  (-0.012082+0.002153j)  (-0.007200-0.004904j)  (0.021972-0.002327j)  (0.018433+0.001570j)  (-0.004698+0.000208j)  (0.010001-0.007760j)  (0.024111-0.011662j)  (-0.004073-0.098882j)  (-0.059787+0.046649j)  (-0.022475+0.000917j)  (0.024896-0.053085j)  (0.028446-0.008196j)  (0.021680-0.016698j)  (0.018696-0.016165j)  (-0.034927-0.002277j)  (-0.065718+0.115522j)  (0.093285-0.019327j)  (0.043939+0.008752j)  (-0.064977+0.052827j)  (-0.032385-0.020055j)  (-0.020657+0.005765j)  (-0.026343+0.007509j)  (0.022377-0.027256j)  (-0.049737-0.075895j)  (-0.012239+0.070395j)  (-0.024465+0.017156j)  (-0.021345-0.058471j)  (0.019308-0.024410j)  (0.007183-0.034567j)  (-0.007169-0.010570j)  (0.030427-0.003948j)  (0.013964-0.093504j)  (-0.061945+0.039356j)  (-0.027496-0.012980j)  (0.040822-0.034836j)  (0.030653-0.000279j)  (0.007100-0.023570j)  (0.008010-0.003917j)  (-0.008554+0.003909j)  (-0.043024+0.018031j)  (0.034052+0.016175j)  (0.008905+0.008323j)  (-0.015012+0.001002j)  (-0.000613-0.011159j)  (-0.008603-0.002971j)  (-0.004882+0.003756j)  (-0.003788+0.007240j)  (0.030510-0.014953j)  (-0.016602-0.006505j)  (-0.002316-0.003050j)  (0.017498+0.000484j)  (0.013554+0.009561j)  (-0.008252-0.002947j)  (0.006166-0.005970j)
 (-0.005627-0.030958j)  (-0.025713+0.020883j)  (0.027704+0.010133j)  (-0.034914+0.025311j)  (0.051408-0.035776j)  (-0.067515+0.081729j)  (0.051829+0.001104j)  (-0.018231-0.012077j)  (-0.013609-0.006903j)  (0.004338+0.010022j)  (-0.005015-0.009226j)  (0.002687+0.013825j)  (-0.016885-0.015971j)  (0.032517+0.014773j)  (-0.010536-0.011556j)  (-0.000896+0.007308j)  (-0.006685+0.023780j)  (0.023825-0.004263j)  (-0.004347-0.026090j)  (0.033168+0.012717j)  (-0.085679+0.004594j)  (0.097793-0.016455j)  (-0.036593-0.046217j)  (0.007499+0.018185j)  (0.029037-0.029597j)  (-0.025575-0.021597j)  (0.007217+0.032283j)  (-0.041883-0.042267j)  (0.072724+0.034266j)  (-0.118333-0.052798j)  (0.029062+0.067315j)  (-0.007683-0.033600j)  (-0.002239+0.018961j)  (0.025400-0.024199j)  (-0.022181-0.006826j)  (0.038547-0.005824j)  (-0.050742+0.034254j)  (0.067089-0.064305j)  (-0.041848-0.001542j)  (0.028801+0.009673j)  (-0.021348+0.018019j)  (0.034264+0.000779j)  (-0.008477-0.013230j)  (0.035091+0.023264j)  (-0.061742-0.002051j)  (0.089598+0.017118j)  (-0.031892-0.034964j)  (0.007861+0.032447j)  (0.012573+0.005823j)  (-0.008969-0.011094j)  (-0.008828+0.009910j)  (-0.007429-0.011357j)  (0.015557+0.023021j)  (-0.016793-0.028802j)  (-0.007960+0.017137j)  (0.019443-0.010645j)  (-0.008235+0.008171j)  (-0.000739-0.004752j)  (-0.003425-0.002059j)  (0.014337+0.020205j)  (-0.001124-0.011962j)  (0.005589+0.011101j)  (-0.007644-0.004995j)  (-0.003981+0.009415j)
 (0.058418-0.054256j)  (-0.034736-0.025615j)  (0.023918-0.081098j)  (0.020339+0.027412j)  (0.043690+0.007568j)  (-0.008463+0.013155j)  (-0.042497-0.047205j)  (0.046007-0.023104j)  (-0.020153-0.032745j)  (-0.002896+0.007225j)  (-0.027380-0.004245j)  (0.009842+0.006051j)  (0.008066-0.018387j)  (0.001743+0.007621j)  (-0.009531+0.019921j)  (-0.002327-0.000849j)  (-0.076938-0.003254j)  (0.021497+0.051548j)  (-0.075516+0.050863j)  (-0.012182-0.016029j)  (-0.012940-0.028427j)  (0.025207-0.016052j)  (0.004165+0.055072j)  (-0.051393-0.003886j)  (0.095265+0.067526j)  (0.010322-0.046840j)  (0.101626+0.008998j)  (-0.010614+0.027754j)  (0.009596+0.027283j)  (-0.024699+0.007116j)  (0.034184-0.058927j)  (0.046297+0.056790j)  (-0.056168+0.046852j)  (0.020436+0.016520j)  (-0.032565+0.059367j)  (-0.030022-0.004648j)  (-0.033980-0.006288j)  (0.009676-0.019673j)  (0.040765+0.049095j)  (-0.059822+0.023505j)  (-0.078345-0.029506j)  (-0.009469+0.037508j)  (-0.074095+0.013392j)  (0.002316-0.023780j)  (-0.012312-0.021664j)  (0.028287-0.009080j)  (-0.011300+0.048855j)  (-0.047879-0.024399j)  (0.013925+0.027270j)  (0.009366-0.006400j)  (0.015992+0.017105j)  (-0.002559-0.002877j)  (0.001781+0.011607j)  (0.004321-0.005103j)  (0.020776-0.014361j)  (0.017625+0.008699j)  (0.000919-0.007762j)  (-0.009537+0.007937j)  (-0.011639-0.016426j)  (0.015093-0.005311j)  (-0.010555-0.019029j)  (0.013368+0.016781j)  (-0.004565+0.016820j)  (-0.001848-0.014978j)
 (0.023842+0.059500j)  (-0.010340+0.028441j)  (0.044178-0.026287j)  (-0.007563-0.062248j)  (0.003960-0.070902j)  (0.048454+0.015478j)  (0.001521+0.042074j)  (0.014158-0.047641j)  (0.018851-0.015396j)  (0.003028+0.006742j)  (0.003843-0.031528j)  (-0.020808+0.005270j)  (-0.006845-0.001152j)  (0.005633-0.016607j)  (0.036391+0.010027j)  (-0.020056+0.009900j)  (0.010828-0.066951j)  (0.024412+0.001484j)  (-0.044668-0.033193j)  (-0.022996+0.051883j)  (-0.036200+0.033537j)  (-0.022735-0.036213j)  (0.028105-0.020081j)  (-0.035118+0.036001j)  (-0.060926+0.077075j)  (-0.016161-0.015040j)  (0.032780+0.070902j)  (0.070933-0.055143j)  (0.068319-0.011993j)  (0.010687+0.070785j)  (-0.060839+0.008554j)  (0.080320+0.003346j)  (-0.038409-0.061516j)  (0.015927-0.005858j)  (-0.057876+0.016314j)  (0.014835+0.038386j)  (0.001399+0.050631j)  (-0.046013-0.031659j)  (0.010590-0.060617j)  (-0.007620+0.046595j)  (0.032970-0.067481j)  (0.028382+0.002964j)  (-0.038443-0.031929j)  (-0.052508+0.039046j)  (-0.042725+0.025528j)  (-0.020031-0.043851j)  (0.038417-0.046352j)  (-0.047325+0.029939j)  (-0.028885+0.006703j)  (-0.006005-0.007195j)  (0.004525+0.021069j)  (0.019718+0.005348j)  (0.006270-0.002648j)  (-0.000354+0.009931j)  (-0.012747-0.010696j)  (0.008075+0.006607j)  (0.013060-0.008612j)  (-0.003993+0.004886j)  (0.001737-0.015466j)  (-0.008929+0.003935j)  (-0.027774-0.008468j)  (0.030902-0.009798j)  (0.008531+0.008488j)  (-0.007242-0.005158j)
 (0.014400-0.075872j)  (0.020598+0.015813j)  (0.028203+0.083012j)  (-0.090023-0.056743j)  (-0.003944+0.073968j)  (0.036966+0.072445j)  (-0.036296-0.004750j)  (0.020203+0.010752j)  (-0.078191-0.007215j)  (0.009601-0.028968j)  (0.059692-0.029198j)  (-0.050379+0.071244j)  (0.072343+0.013380j)  (0.057031-0.037156j)  (-0.016224+0.029898j)  (-0.010737-0.024227j)  (-0.055092+0.010818j)  (-0.005343-0.022106j)  (0.040218-0.031929j)  (-0.024443+0.067973j)  (0.044595+0.003572j)  (0.038275-0.045063j)  (-0.008015+0.009535j)  (0.005969-0.009595j)  (-0.050813-0.032349j)  (0.013719-0.025345j)  (0.050518+0.006526j)  (-0.074187+0.041531j)  (0.040352+0.052818j)  (0.065838-0.010400j)  (-0.014399+0.026628j)  (0.006081-0.008778j)  (0.018260-0.062023j)  (0.021066+0.009746j)  (0.012734+0.060355j)  (-0.068672-0.048559j)  (-0.011394+0.059465j)  (0.021170+0.056173j)  (-0.027739-0.005122j)  (0.013109+0.004206j)  (0.023756-0.035904j)  (0.015211+0.004804j)  (-0.003475+0.041851j)  (-0.024530-0.048006j)  (-0.024754+0.025532j)  (0.010418+0.042145j)  (-0.007915-0.009755j)  (0.005260-0.000508j)  (-0.023798+0.010312j)  (-0.007358-0.000384j)  (0.011507-0.027389j)  (-0.007294+0.030985j)  (0.017943-0.020548j)  (0.002468-0.018910j)  (0.007015-0.001051j)  (-0.013968-0.010439j)  (-0.033474-0.005805j)  (-0.006400-0.016777j)  (0.014923-0.022770j)  (0.009428+0.046145j)  (0.024946-0.012299j)  (0.032510-0.023004j)  (0.024363+0.014899j)  (-0.005516+0.002438j)
 (0.165257+0.000000j)  (-0.002980+0.080010j)  (-0.016806+0.052388j)  (0.040024+0.067947j)  (0.077752-0.002162j)  (0.042993-0.010885j)  (-0.027518+0.028991j)  (-0.018166+0.041681j)  (-0.002980-0.080010j)  (0.163105+0.000000j)  (0.046743+0.006041j)  (0.068546-0.025439j)  (0.001060-0.063229j)  (-0.011275-0.050923j)  (0.018433+0.024220j)  (0.034107+0.028125j)  (-0.016806-0.052388j)  (0.046743-0.006041j)  (0.120427+0.000000j)  (0.048824-0.039483j)  (-0.012331-0.035284j)  (-0.024745-0.016990j)  (0.014125+0.012526j)  (0.025786-0.005276j)  (0.040024-0.067947j)  (0.068546+0.025439j)  (0.048824+0.039483j)  (0.148735+0.000000j)  (0.023514-0.050441j)  (-0.000497-0.045640j)  (0.005551+0.032561j)  (0.020715+0.027063j)  (0.077752+0.002162j)  (0.001060+0.063229j)  (-0.012331+0.035284j)  (0.023514+0.050441j)  (0.130679+0.000000j)  (0.031280-0.003798j)  (-0.019823+0.022405j)  (-0.014656+0.022113j)  (0.042993+0.010885j)  (-0.011275+0.050923j)  (-0.024745+0.016990j)  (-0.000497+0.045640j)  (0.031280+0.003798j)  (0.095738+0.000000j)  (-0.018300+0.017060j)  (-0.020071+0.010685j)  (-0.027518-0.028991j)  (0.018433-0.024220j)  (0.014125-0.012526j)  (0.005551-0.032561j)  (-0.019823-0.022405j)  (-0.018300-0.017060j)  (0.090794+0.000000j)  (0.010184-0.004105j)  (-0.018166-0.041681j)  (0.034107-0.028125j)  (0.025786+0.005276j)  (0.020715-0.027063j)  (-0.014656-0.022113j)  (-0.020071-0.010685j)  (0.010184+0.004105j)  (0.094340+0.000000j)
 (-0.006751+0.016213j)  (-0.000307+0.015590j)  (0.012730-0.005810j)  (-0.052948-0.048187j)  (0.034746-0.050221j)  (-0.028354-0.044482j)  (-0.067798-0.044352j)  (-0.049804+0.098822j)  (0.018055+0.008392j)  (0.040728+0.001930j)  (-0.013015-0.004369j)  (-0.066490+0.066492j)  (-0.068311-0.026466j)  (-0.036051+0.028295j)  (-0.042907+0.068270j)  (0.096361+0.030020j)  (0.015272+0.014469j)  (0.024664+0.006948j)  (-0.013456+0.013376j)  (-0.019955+0.070222j)  (-0.040824-0.011812j)  (-0.041511+0.014624j)  (0.005176+0.056853j)  (0.063160+0.021883j)  (0.012211+0.009656j)  (0.023891+0.017927j)  (-0.011255-0.013892j)  (-0.074057+0.042613j)  (-0.037610-0.051422j)  (-0.046719-0.010896j)  (-0.071661+0.044434j)  (0.059363+0.071754j)  (-0.001859+0.015122j)  (-0.005017+0.009309j)  (0.011178-0.045412j)  (-0.056135-0.032309j)  (0.033078-0.052740j)  (-0.005929-0.036488j)  (-0.052684-0.029476j)  (-0.035495+0.069081j)  (-0.002829+0.014611j)  (-0.020461+0.016057j)  (-0.005328-0.019086j)  (-0.037831-0.036615j)  (0.029636-0.027979j)  (-0.007592-0.025221j)  (-0.029536-0.030155j)  (-0.037239+0.037839j)  (0.008559-0.009979j)  (-0.005807-0.008166j)  (0.005750+0.009065j)  (0.001816+0.033796j)  (-0.021258+0.004623j)  (-0.011511+0.014328j)  (0.020216+0.027750j)  (0.028750-0.023800j)  (0.010813-0.000162j)  (0.023663-0.005508j)  (-0.004517+0.009205j)  (-0.011476+0.040381j)  (-0.027411+0.007575j)  (-0.011825+0.030160j)  (-0.006697+0.033203j)  (0.025516-0.015624j)
