 (0.080391+0.000000j)  (0.003592-0.005484j)  (-0.018212-0.006033j)  (0.029583+0.006352j)  (0.018476-0.027532j)  (0.024907-0.010191j)  (-0.036832-0.015072j)  (-0.014510-0.011256j)  (0.003592+0.005484j)  (0.080594+0.000000j)  (-0.018479-0.014833j)  (0.013088+0.025063j)  (0.036943+0.006408j)  (0.018400+0.012409j)  (-0.008741-0.049927j)  (-0.007233-0.005526j)  (-0.018212+0.006033j)  (-0.018479+0.014833j)  (0.136440+0.000000j)  (-0.039710-0.005327j)  (-0.043392+0.055754j)  (-0.044273+0.024655j)  (0.069771+0.030854j)  (0.008044-0.003742j)  (0.029583-0.006352j)  (0.013088-0.025063j)  (-0.039710+0.005327j)  (0.116510+0.000000j)  (0.036137-0.047144j)  (0.027923-0.015542j)  (-0.066316-0.021999j)  (-0.006907+0.000145j)  (0.018476+0.027532j)  (0.036943-0.006408j)  (-0.043392-0.055754j)  (0.036137+0.047144j)  (0.177536+0.000000j)  (0.043851+0.027533j)  (-0.028104-0.101919j)  (-0.004131-0.018639j)  (0.024907+0.010191j)  (0.018400-0.012409j)  (-0.044273-0.024655j)  (0.027923+0.015542j)  (0.043851-0.027533j)  (0.110003+0.000000j)  (-0.035218-0.053019j)  (-0.018786-0.007162j)  (-0.036832+0.015072j)  (-0.008741+0.049927j)  (0.069771-0.030854j)  (-0.066316+0.021999j)  (-0.028104+0.101919j)  (-0.035218+0.053019j)  (0.179717+0.000000j)  (0.011044-0.008656j)  (-0.014510+0.011256j)  (-0.007233+0.005526j)  (0.008044+0.003742j)  (-0.006907-0.000145j)  (-0.004131+0.018639j)  (-0.018786+0.007162j)  (0.011044+0.008656j)  (0.079385+0.000000j)
 (-0.004647+0.021755j)  (0.018996-0.023634j)  (0.029209+0.015616j)  (-0.019621+0.003692j)  (0.029442-0.000121j)  (-0.014241+0.013514j)  (0.010774+0.003757j)  (-0.002711+0.014696j)  (-0.013588+0.004264j)  (0.037922+0.007966j)  (0.001926+0.035518j)  (-0.019993-0.003652j)  (0.022844+0.033494j)  (-0.016133+0.001411j)  (-0.013676+0.009860j)  (-0.025383+0.028501j)  (-0.008743-0.041589j)  (-0.036411+0.056540j)  (-0.054365-0.044482j)  (0.018553-0.028914j)  (-0.054277+0.015863j)  (0.000570-0.017074j)  (-0.005479-0.038483j)  (0.008401-0.067912j)  (0.008071+0.014104j)  (0.007209-0.058287j)  (0.056321+0.025364j)  (-0.005879+0.017228j)  (0.051856-0.009074j)  (0.000463+0.021547j)  (0.020116+0.024502j)  (0.023777+0.044247j)  (-0.037631+0.044391j)  (0.101482-0.017200j)  (-0.017448+0.083369j)  (-0.029980+0.002159j)  (0.067862+0.062810j)  (-0.036218+0.004262j)  (-0.018377+0.036565j)  (-0.046572+0.073887j)  (-0.010060+0.022795j)  (0.041056-0.016606j)  (0.024176+0.034049j)  (-0.011289+0.005800j)  (0.059132+0.012697j)  (-0.015881+0.012264j)  (0.002992+0.015829j)  (-0.021449+0.043663j)  (-0.037555-0.049748j)  (-0.009093+0.085128j)  (-0.083926-0.021729j)  (0.008398-0.030259j)  (-0.078288+0.050573j)  (0.012177-0.033058j)  (-0.027973-0.030465j)  (-0.056031-0.065598j)  (-0.008927-0.023588j)  (-0.014070+0.014718j)  (-0.018509-0.025921j)  (0.003960-0.011712j)  (-0.026307+0.005817j)  (-0.001239-0.006665j)  (-0.008388-0.002459j)  (-0.001913-0.029648j)
 (0.004495+0.021738j)  (0.021713+0.042174j)  (-0.001024+0.001748j)  (0.012266-0.019964j)  (-0.004755-0.020527j)  (-0.004518-0.012459j)  (0.033202+0.010683j)  (0.020525-0.017330j)  (-0.024547+0.001323j)  (-0.039245+0.059831j)  (-0.011230+0.010413j)  (0.018269-0.007750j)  (0.041215-0.004392j)  (0.015720-0.006689j)  (0.003588+0.029250j)  (0.011735+0.003521j)  (0.008972-0.055551j)  (-0.056987-0.071596j)  (-0.013666+0.011903j)  (-0.022447+0.014821j)  (-0.019079+0.062274j)  (-0.020448+0.019094j)  (-0.041864-0.025890j)  (-0.032765+0.019795j)  (-0.005832+0.051866j)  (0.053198+0.062283j)  (0.007656+0.007180j)  (0.017835-0.017869j)  (0.004187-0.059561j)  (0.017646-0.027227j)  (0.036548+0.001864j)  (0.032258-0.025664j)  (-0.065214+0.024531j)  (-0.025361+0.112442j)  (-0.008698+0.000779j)  (0.057161-0.001128j)  (0.072665-0.007907j)  (0.025625+0.006351j)  (0.013640+0.060551j)  (0.048758+0.034765j)  (-0.032818+0.031063j)  (0.013839+0.085491j)  (0.000777+0.004534j)  (0.024722-0.027075j)  (0.039427-0.030484j)  (0.010878-0.005996j)  (0.030409+0.028783j)  (0.032739-0.020281j)  (-0.017951-0.073793j)  (-0.109631-0.082122j)  (0.009402-0.004911j)  (0.002205+0.058578j)  (0.003054+0.084370j)  (-0.003329+0.028401j)  (-0.066721-0.003143j)  (-0.034010+0.058626j)  (0.003866-0.018366j)  (-0.016711-0.025963j)  (0.006488-0.005575j)  (-0.010664+0.012477j)  (-0.009183+0.020238j)  (-0.000471-0.000414j)  (-0.020698-0.007807j)  (-0.010492+0.006523j)
 (0.018120-0.013029j)  (-0.009392-0.003354j)  (-0.041121-0.016098j)  (0.013070-0.004519j)  (0.016282+0.005569j)  (-0.036207-0.015625j)  (0.009730+0.007022j)  (0.003379+0.002120j)  (0.018886+0.006896j)  (-0.012649+0.000498j)  (0.007762-0.034363j)  (0.005911-0.002693j)  (0.016251+0.023488j)  (-0.021861-0.057176j)  (0.009263+0.030428j)  (-0.006141+0.015727j)  (-0.028492+0.032150j)  (0.028683-0.010491j)  (0.054047+0.015840j)  (-0.002141+0.012409j)  (-0.037154+0.012757j)  (0.117329+0.012106j)  (-0.036589-0.025752j)  (0.006819-0.005183j)  (0.031226-0.021734j)  (-0.009224+0.001386j)  (-0.058516+0.008641j)  (0.008293+0.004973j)  (0.030627-0.005449j)  (-0.088359+0.004263j)  (0.031210+0.003976j)  (0.014059+0.022349j)  (0.058705+0.008359j)  (-0.008631-0.005488j)  (-0.040141-0.073746j)  (0.002003+0.001941j)  (0.038328+0.035664j)  (-0.071054-0.109801j)  (0.015590+0.059047j)  (-0.022041+0.025639j)  (0.037638+0.004435j)  (-0.013178-0.001397j)  (-0.038342-0.029610j)  (0.005717-0.011777j)  (0.021677+0.004150j)  (-0.059924-0.056624j)  (0.024092+0.029027j)  (-0.001640+0.020655j)  (-0.042986+0.065940j)  (0.025062-0.023737j)  (0.111465+0.005479j)  (-0.002633-0.006064j)  (-0.040934+0.034578j)  (0.125443-0.031403j)  (-0.066707+0.017407j)  (-0.022426-0.019212j)  (-0.003590+0.003156j)  (-0.004214-0.011229j)  (0.026892+0.008132j)  (0.005748-0.015089j)  (-0.000017+0.000167j)  (0.021016+0.016485j)  (-0.017881-0.001889j)  (0.002464-0.006603j)
 (0.031475-0.007631j)  (0.014131+0.021023j)  (0.002987-0.021179j)  (0.000554+0.002019j)  (-0.000805+0.013955j)  (0.001703+0.023218j)  (-0.013792+0.016883j)  (0.001843-0.004189j)  (0.045451+0.016769j)  (0.003155+0.030388j)  (0.013812+0.001689j)  (0.004063+0.000007j)  (-0.000819-0.001596j)  (-0.020579+0.018756j)  (-0.032927-0.014064j)  (-0.008353+0.003060j)  (-0.078444+0.039382j)  (-0.039338-0.036925j)  (-0.010462+0.003424j)  (-0.002945+0.004499j)  (0.002152-0.019346j)  (-0.012419-0.049617j)  (0.039549-0.032311j)  (0.011397-0.002068j)  (0.062207-0.045599j)  (0.054508+0.012288j)  (0.007918-0.021599j)  (-0.009622+0.002739j)  (-0.009278+0.017763j)  (0.020239+0.044678j)  (-0.031075+0.054717j)  (0.012941-0.000194j)  (0.107777+0.035009j)  (-0.005249+0.072171j)  (0.021942-0.003691j)  (-0.000579-0.004460j)  (-0.008179+0.011261j)  (-0.035990+0.071129j)  (-0.082126-0.002491j)  (0.004247-0.003398j)  (0.066684-0.006381j)  (0.027044+0.039186j)  (0.002949-0.015010j)  (0.012065-0.011878j)  (-0.001518+0.019143j)  (-0.008953+0.039516j)  (-0.047306+0.023420j)  (-0.003449+0.009617j)  (-0.070779+0.098279j)  (-0.074334-0.025407j)  (-0.013542+0.035053j)  (0.001872+0.004454j)  (-0.013450-0.022592j)  (-0.060894-0.050386j)  (0.021688-0.077156j)  (-0.014030-0.007007j)  (-0.027136+0.016747j)  (-0.018951-0.013578j)  (-0.003448-0.002091j)  (0.008685-0.008109j)  (-0.000789-0.013705j)  (-0.011261-0.010540j)  (0.017425-0.004186j)  (0.000675-0.005570j)
 (0.004556-0.012190j)  (-0.011087+0.005608j)  (0.024257+0.006821j)  (-0.000999-0.013692j)  (0.001846-0.007872j)  (0.003257-0.001068j)  (0.009098-0.007792j)  (-0.025813+0.014151j)  (0.013941-0.008391j)  (-0.003492+0.008793j)  (0.010987+0.027119j)  (0.021036-0.014065j)  (0.008459+0.011401j)  (0.009434+0.004290j)  (0.027733-0.011214j)  (-0.038360-0.031683j)  (-0.009633+0.042726j)  (-0.015104-0.032562j)  (-0.063556+0.007970j)  (-0.016848+0.067566j)  (-0.034908+0.008903j)  (-0.008954+0.014049j)  (-0.030097+0.037824j)  (0.047699-0.010490j)  (-0.006843-0.038873j)  (-0.002368+0.020753j)  (0.045884-0.001124j)  (0.009268-0.061386j)  (0.016616-0.006396j)  (0.012590-0.016566j)  (0.019544-0.031749j)  (-0.054224+0.035173j)  (0.058258-0.026210j)  (-0.029127+0.020727j)  (0.037117+0.061016j)  (0.056566-0.025891j)  (0.048321+0.025173j)  (0.028720-0.021477j)  (0.057727-0.006013j)  (-0.059964-0.039419j)  (0.024591-0.015924j)  (-0.016843+0.015894j)  (0.041990+0.041973j)  (0.047322-0.046414j)  (0.029179+0.005479j)  (0.000228-0.005563j)  (0.038604-0.017133j)  (-0.052781-0.012246j)  (0.006177+0.057895j)  (-0.009771-0.030142j)  (-0.077055+0.037346j)  (0.012621+0.090129j)  (-0.036147+0.034805j)  (-0.008526+0.024116j)  (-0.012712+0.059983j)  (0.062336-0.065795j)  (-0.000952+0.011441j)  (0.009620-0.004336j)  (-0.038780+0.000164j)  (-0.013541+0.030951j)  (-0.001852+0.000635j)  (0.000135+0.004825j)  (-0.016598+0.002650j)  (0.030614+0.010620j)
 (0.014328-0.003714j)  (0.001490+0.008158j)  (-0.002124+0.006601j)  (-0.029403-0.010744j)  (0.030322+0.007883j)  (0.009999-0.008959j)  (-0.019694-0.010656j)  (0.023016-0.015540j)  (0.018071-0.000176j)  (-0.007352+0.006179j)  (-0.014736+0.019688j)  (0.009540-0.033912j)  (0.002880+0.018761j)  (0.025251-0.012744j)  (0.008703-0.007099j)  (0.045674+0.017632j)  (-0.020685+0.029527j)  (0.023013-0.005528j)  (-0.000560-0.045099j)  (0.060868+0.033789j)  (-0.060294-0.026609j)  (0.001536+0.032854j)  (0.036547+0.017430j)  (-0.040886+0.048532j)  (0.011888-0.015274j)  (-0.007132+0.019201j)  (0.011446+0.026022j)  (-0.067336-0.019362j)  (0.034661-0.003640j)  (0.027828-0.031505j)  (-0.029695-0.013744j)  (0.031283-0.047767j)  (0.035576-0.003470j)  (-0.021786-0.013760j)  (-0.042972+0.050411j)  (-0.022257-0.091315j)  (0.029272+0.065262j)  (0.049782-0.024904j)  (0.002678-0.049674j)  (0.087270-0.001071j)  (0.019122-0.011440j)  (-0.006779+0.004919j)  (0.000406+0.030191j)  (-0.038524-0.043360j)  (0.034197+0.037120j)  (0.023636-0.026439j)  (-0.015370-0.029328j)  (0.048540-0.043872j)  (-0.017689+0.045395j)  (0.002463-0.015330j)  (-0.035832-0.043337j)  (0.105155+0.002927j)  (-0.085989+0.010372j)  (0.012102+0.058319j)  (0.034310+0.018023j)  (-0.036553+0.092875j)  (-0.010265+0.010467j)  (-0.002772+0.001766j)  (0.006696-0.012472j)  (0.012562+0.002323j)  (-0.020069-0.006805j)  (-0.003255+0.018569j)  (0.005671+0.004245j)  (-0.019445+0.022086j)
 (-0.008357-0.001572j)  (0.007754+0.008779j)  (0.019015+0.025823j)  (0.014427+0.004424j)  (-0.000730+0.000609j)  (0.002443-0.016743j)  (-0.002351+0.001133j)  (0.013169+0.005903j)  (0.019716-0.020293j)  (0.003429+0.006341j)  (-0.008044+0.025154j)  (-0.000412+0.037530j)  (-0.028635-0.000111j)  (0.013431-0.027557j)  (0.021281-0.014808j)  (0.004874+0.026982j)  (-0.010976+0.041867j)  (-0.029924-0.028540j)  (-0.032305-0.048073j)  (-0.044817-0.056677j)  (0.029360-0.011234j)  (0.032540+0.045109j)  (0.006836+0.034732j)  (-0.045687-0.039890j)  (-0.006680-0.037141j)  (0.018430+0.009977j)  (0.021502+0.026248j)  (0.045458+0.048685j)  (0.000166+0.020496j)  (-0.008460-0.037646j)  (-0.000919-0.030999j)  (0.040581+0.006628j)  (0.032665-0.041961j)  (-0.003362+0.039989j)  (-0.005640+0.055741j)  (-0.002793+0.108845j)  (-0.033115-0.006089j)  (0.034095-0.067122j)  (0.036416-0.033015j)  (0.031256+0.068962j)  (0.009800-0.022459j)  (0.008333+0.033077j)  (0.024898+0.040719j)  (0.010533+0.057771j)  (-0.032531+0.008125j)  (0.005439-0.042465j)  (-0.001671-0.032560j)  (0.029522+0.034421j)  (0.007450+0.046096j)  (-0.050783-0.020836j)  (-0.043024-0.014995j)  (-0.085010-0.032621j)  (0.011585-0.042497j)  (0.044479+0.052688j)  (0.030525+0.039407j)  (-0.070725-0.010104j)  (-0.003088+0.001824j)  (-0.020082-0.018673j)  (-0.016675-0.009374j)  (-0.009726-0.024411j)  (0.015759-0.002091j)  (0.001384+0.015219j)  (0.000863-0.004331j)  (-0.014233-0.002903j)
 (-0.004647-0.021755j)  (-0.013588-0.004264j)  (-0.008743+0.041589j)  (0.008071-0.014104j)  (-0.037631-0.044391j)  (-0.010060-0.022795j)  (-0.037555+0.049748j)  (-0.008927+0.023588j)  (0.018996+0.023634j)  (0.037922-0.007966j)  (-0.036411-0.056540j)  (0.007209+0.058287j)  (0.101482+0.017200j)  (0.041056+0.016606j)  (-0.009093-0.085128j)  (-0.014070-0.014718j)  (0.029209-0.015616j)  (0.001926-0.035518j)  (-0.054365+0.044482j)  (0.056321-0.025364j)  (-0.017448-0.083369j)  (0.024176-0.034049j)  (-0.083926+0.021729j)  (-0.018509+0.025921j)  (-0.019621-0.003692j)  (-0.019993+0.003652j)  (0.018553+0.028914j)  (-0.005879-0.017228j)  (-0.029980-0.002159j)  (-0.011289-0.005800j)  (0.008398+0.030259j)  (0.003960+0.011712j)  (0.029442+0.000121j)  (0.022844-0.033494j)  (-0.054277-0.015863j)  (0.051856+0.009074j)  (0.067862-0.062810j)  (0.059132-0.012697j)  (-0.078288-0.050573j)  (-0.026307-0.005817j)  (-0.014241-0.013514j)  (-0.016133-0.001411j)  (0.000570+0.017074j)  (0.000463-0.021547j)  (-0.036218-0.004262j)  (-0.015881-0.012264j)  (0.012177+0.033058j)  (-0.001239+0.006665j)  (0.010774-0.003757j)  (-0.013676-0.009860j)  (-0.005479+0.038483j)  (0.020116-0.024502j)  (-0.018377-0.036565j)  (0.002992-0.015829j)  (-0.027973+0.030465j)  (-0.008388+0.002459j)  (-0.002711-0.014696j)  (-0.025383-0.028501j)  (0.008401+0.067912j)  (0.023777-0.044247j)  (-0.046572-0.073887j)  (-0.021449-0.043663j)  (-0.056031+0.065598j)  (-0.001913+0.029648j)
 (0.113034+0.000000j)  (-0.050175-0.041007j)  (0.042833-0.033193j)  (0.008377+0.009801j)  (-0.001232-0.046288j)  (0.002150+0.024888j)  (0.021184+0.001038j)  (0.046029+0.012032j)  (-0.050175+0.041007j)  (0.172955+0.000000j)  (-0.022518+0.078325j)  (-0.026113-0.004989j)  (0.040578+0.067346j)  (-0.023010-0.005664j)  (-0.028790+0.039457j)  (-0.050819+0.045602j)  (0.042833+0.033193j)  (-0.022518-0.078325j)  (0.155494+0.000000j)  (-0.007168+0.021884j)  (0.042837-0.055877j)  (0.010620+0.023690j)  (0.041226+0.017630j)  (0.063112+0.035199j)  (0.008377-0.009801j)  (-0.026113+0.004989j)  (-0.007168-0.021884j)  (0.085679+0.000000j)  (-0.013296-0.015893j)  (0.014114-0.000658j)  (0.011856-0.013089j)  (0.008749-0.015939j)  (-0.001232+0.046288j)  (0.040578-0.067346j)  (0.042837+0.055877j)  (-0.013296+0.015893j)  (0.156845+0.000000j)  (-0.012477+0.021750j)  (-0.001688+0.037793j)  (-0.004785+0.080526j)  (0.002150-0.024888j)  (-0.023010+0.005664j)  (0.010620-0.023690j)  (0.014114+0.000658j)  (-0.012477-0.021750j)  (0.081350+0.000000j)  (0.004372-0.004505j)  (0.021462-0.015682j)  (0.021184-0.001038j)  (-0.028790-0.039457j)  (0.041226-0.017630j)  (0.011856+0.013089j)  (-0.001688-0.037793j)  (0.004372+0.004505j)  (0.091305+0.000000j)  (0.042586+0.003340j)  (0.046029-0.012032j)  (-0.050819-0.045602j)  (0.063112-0.035199j)  (0.008749+0.015939j)  (-0.004785-0.080526j)  (0.021462+0.015682j)  (0.042586-0.003340j)  (0.161141+0.000000j)
 (0.039988+0.026978j)  (0.066763-0.031090j)  (-0.003685+0.000232j)  (-0.025119-0.011011j)  (-0.036766-0.032148j)  (-0.002989-0.011722j)  (0.038335-0.013050j)  (-0.016661-0.048431j)  (-0.069463+0.002590j)  (-0.051320+0.092804j)  (0.000294+0.006658j)  (0.030800+0.009985j)  (0.072366+0.005048j)  (0.024833+0.025273j)  (-0.005293+0.042262j)  (0.030707+0.036117j)  (0.023919+0.061893j)  (0.115640+0.035455j)  (-0.008450-0.008263j)  (0.002736-0.026860j)  (-0.033404-0.067246j)  (0.002304-0.018576j)  (0.064811-0.006682j)  (0.021431-0.057073j)  (0.029297-0.024785j)  (0.013884-0.041000j)  (-0.002991+0.008717j)  (-0.008512+0.008867j)  (-0.034098+0.017280j)  (-0.005399+0.003720j)  (0.009037-0.018319j)  (-0.005705-0.016430j)  (-0.030503+0.054302j)  (0.048062+0.100025j)  (0.000176+0.008022j)  (0.015531-0.028217j)  (0.037098-0.057099j)  (0.033813-0.023341j)  (0.042761+0.043630j)  (0.038694-0.027256j)  (0.021238-0.006954j)  (0.014765-0.044629j)  (0.014559+0.003163j)  (-0.033552+0.002767j)  (-0.025772+0.012005j)  (-0.009055+0.003668j)  (0.004522-0.038625j)  (-0.016636-0.009060j)  (0.028982+0.021574j)  (0.040923-0.014010j)  (-0.003240+0.004489j)  (-0.002028-0.018554j)  (-0.029274-0.009805j)  (-0.019891-0.021287j)  (0.025930-0.019910j)  (-0.008029-0.013799j)  (0.047896+0.029600j)  (0.095012-0.054440j)  (0.003933+0.007264j)  (-0.015031-0.016789j)  (-0.060320-0.024247j)  (-0.020391-0.028123j)  (0.041543-0.042412j)  (-0.018857-0.053951j)
