 (0.086183+0.000000j)  (0.005579+0.005887j)  (-0.010382-0.001097j)  (-0.003704+0.000048j)  (-0.000443-0.003267j)  (0.006737+0.002785j)  (-0.001560-0.013213j)  (0.015043+0.003516j)  (0.005579-0.005887j)  (0.098234+0.000000j)  (0.008094+0.008080j)  (0.003319-0.002127j)  (0.013659-0.002550j)  (-0.002369+0.000839j)  (-0.000811-0.003965j)  (0.008353+0.000483j)  (-0.010382+0.001097j)  (0.008094-0.008080j)  (0.089683+0.000000j)  (-0.010860-0.007459j)  (0.002366+0.001217j)  (0.007525+0.006654j)  (-0.006091-0.001758j)  (-0.005834+0.000658j)  (-0.003704-0.000048j)  (0.003319+0.002127j)  (-0.010860+0.007459j)  (0.110270+0.000000j)  (0.008367+0.027657j)  (-0.017360-0.005966j)  (-0.019076+0.021777j)  (-0.001750+0.014335j)  (-0.000443+0.003267j)  (0.013659+0.002550j)  (0.002366-0.001217j)  (0.008367-0.027657j)  (0.106662+0.000000j)  (-0.022777+0.039884j)  (0.019554+0.035268j)  (0.003627-0.024852j)  (0.006737-0.002785j)  (-0.002369-0.000839j)  (0.007525-0.006654j)  (-0.017360+0.005966j)  (-0.022777-0.039884j)  (0.131801+0.000000j)  (0.009055-0.050577j)  (-0.006376-0.017042j)  (-0.001560+0.013213j)  (-0.000811+0.003965j)  (-0.006091+0.001758j)  (-0.019076-0.021777j)  (0.019554-0.035268j)  (0.009055+0.050577j)  (0.148399+0.000000j)  (0.004959-0.007870j)  (0.015043-0.003516j)  (0.008353-0.000483j)  (-0.005834-0.000658j)  (-0.001750-0.014335j)  (0.003627+0.024852j)  (-0.006376+0.017042j)  (0.004959+0.007870j)  (0.095203+0.000000j)
 (-0.000071+0.024263j)  (0.001064+0.008090j)  (-0.007176-0.002223j)  (-0.010825-0.013393j)  (-0.000239+0.007345j)  (0.005034+0.000460j)  (-0.001379-0.001715j)  (-0.006181-0.009908j)  (-0.003876-0.001177j)  (-0.011606-0.000495j)  (0.003273-0.012431j)  (0.007360-0.005470j)  (-0.001461-0.000252j)  (-0.000386+0.002356j)  (0.007086+0.000688j)  (0.010909-0.011732j)  (0.002995-0.006060j)  (0.003841+0.001845j)  (0.000597+0.009792j)  (0.002255+0.004551j)  (0.009937-0.011088j)  (-0.009729+0.005497j)  (-0.005435+0.005003j)  (0.004701+0.001971j)  (-0.018719-0.028437j)  (-0.041217+0.020854j)  (-0.012060-0.011962j)  (0.006546+0.004088j)  (0.028246-0.013173j)  (0.007879-0.010870j)  (0.024520-0.017609j)  (0.013306+0.005126j)  (-0.037264+0.027822j)  (0.003351+0.041391j)  (-0.010187-0.000234j)  (0.014619-0.025015j)  (-0.004853-0.010905j)  (0.008816+0.010401j)  (-0.015034-0.020678j)  (0.019571+0.001166j)  (0.033647-0.002527j)  (0.032169-0.028641j)  (-0.009058+0.007402j)  (-0.016672+0.000950j)  (-0.014260+0.005883j)  (0.004306-0.004990j)  (-0.001331+0.026397j)  (-0.033245-0.023151j)  (0.016875+0.065665j)  (0.015865+0.010550j)  (-0.016198-0.003728j)  (-0.007841-0.020040j)  (-0.015712-0.003697j)  (0.006812-0.001247j)  (-0.046183-0.001194j)  (0.007303-0.029031j)  (-0.007422+0.018473j)  (-0.010777+0.015013j)  (0.001669-0.009116j)  (0.004126+0.000722j)  (-0.006795-0.012923j)  (-0.007425-0.010085j)  (0.004740-0.010575j)  (-0.000041+0.011069j)
 (-0.030802+0.016797j)  (-0.001639-0.016901j)  (0.001813-0.004403j)  (-0.015091+0.008936j)  (-0.002694+0.005987j)  (-0.002403-0.010832j)  (-0.007390-0.003512j)  (0.009612+0.003731j)  (0.000373-0.004910j)  (-0.008420+0.010394j)  (0.008894+0.004192j)  (-0.000110+0.003243j)  (-0.005039-0.004718j)  (0.015400-0.011017j)  (0.012857+0.001473j)  (-0.003070+0.006435j)  (0.008196+0.017287j)  (0.004429+0.006153j)  (0.000718+0.000756j)  (-0.012914-0.002284j)  (-0.001355-0.001854j)  (0.005015-0.010456j)  (-0.002987-0.007346j)  (-0.003220-0.010969j)  (-0.005718-0.016509j)  (0.042055+0.015309j)  (-0.001257-0.014847j)  (0.005258-0.018879j)  (0.029231+0.003222j)  (0.053425+0.011354j)  (-0.011817+0.007225j)  (0.011601-0.021378j)  (-0.023451-0.001139j)  (0.034212-0.036017j)  (-0.020955-0.008286j)  (-0.031621-0.014559j)  (0.023843+0.002999j)  (0.017049-0.044125j)  (-0.005967+0.007110j)  (-0.014712+0.009881j)  (0.022307+0.010913j)  (-0.040757+0.009074j)  (0.001997+0.018037j)  (0.003549+0.025967j)  (-0.002418-0.015356j)  (-0.074339+0.022142j)  (0.002296-0.003415j)  (0.013317+0.024062j)  (0.007377+0.022104j)  (-0.010459-0.020823j)  (0.000814+0.006060j)  (-0.028513-0.008759j)  (-0.002063-0.047268j)  (-0.036227-0.048531j)  (0.004115+0.022008j)  (-0.014487-0.000974j)  (-0.002067+0.000439j)  (-0.005306-0.001738j)  (-0.006239+0.010084j)  (-0.005751-0.007505j)  (0.000508+0.000387j)  (0.026442-0.032010j)  (0.000013+0.013483j)  (-0.021175+0.000256j)
 (0.004275+0.009856j)  (0.003546+0.018425j)  (-0.004368-0.017705j)  (-0.003502+0.022616j)  (-0.000987+0.002634j)  (-0.002761+0.003552j)  (0.003118-0.017234j)  (0.002678-0.012916j)  (0.007491-0.003645j)  (0.006924-0.001541j)  (0.003178-0.010556j)  (-0.005905+0.005251j)  (0.013473+0.000607j)  (0.003813-0.013052j)  (-0.024876+0.012790j)  (0.013051-0.004837j)  (-0.001598+0.001976j)  (-0.012836+0.011632j)  (-0.006941+0.008312j)  (0.002175+0.000316j)  (0.013301+0.012630j)  (-0.022287-0.014465j)  (-0.004091+0.010090j)  (-0.011477-0.009830j)  (0.000625-0.024990j)  (0.005806-0.011764j)  (0.024604-0.010279j)  (-0.030926-0.027800j)  (-0.011223-0.010470j)  (-0.021043-0.022019j)  (-0.023884+0.008939j)  (0.041445+0.012524j)  (-0.018974-0.013000j)  (0.023391-0.028294j)  (0.024470-0.022674j)  (-0.036014+0.026095j)  (-0.021063+0.008714j)  (-0.020707+0.007749j)  (0.000746+0.003595j)  (0.016620-0.037310j)  (-0.017322+0.005153j)  (-0.020849-0.006228j)  (-0.016805+0.018866j)  (0.039116+0.005164j)  (0.000367-0.010613j)  (0.013091+0.010092j)  (0.008262-0.010282j)  (-0.037391+0.016371j)  (-0.017409+0.020841j)  (-0.002192-0.007897j)  (-0.045785-0.031620j)  (-0.019360+0.040225j)  (0.007798+0.035851j)  (-0.011156-0.005343j)  (0.021847-0.006423j)  (-0.019072-0.040829j)  (0.010891-0.004844j)  (0.015889+0.004922j)  (-0.000662-0.018158j)  (-0.013484+0.014947j)  (0.003057-0.006207j)  (-0.005519-0.004442j)  (0.009764+0.015343j)  (0.027550-0.005875j)
 (-0.024203-0.006307j)  (-0.015493-0.011259j)  (-0.002692+0.003654j)  (0.007104-0.012957j)  (-0.009659+0.009697j)  (-0.009124+0.009842j)  (0.006737+0.013324j)  (0.016827-0.022339j)  (0.002245-0.014015j)  (0.005815+0.002949j)  (0.015732-0.006363j)  (0.003719+0.015905j)  (0.005893-0.011739j)  (-0.008797+0.004466j)  (0.003797-0.005070j)  (0.014867+0.001524j)  (-0.003495+0.024903j)  (0.002819-0.000904j)  (0.009155+0.009806j)  (0.009462+0.013029j)  (0.015783-0.004531j)  (-0.002072-0.015866j)  (0.003017-0.009782j)  (0.014368-0.000069j)  (0.031660-0.019202j)  (0.056289-0.017813j)  (0.008563+0.001738j)  (0.004415+0.024987j)  (0.024536-0.016756j)  (-0.009570-0.006384j)  (0.001985-0.011129j)  (0.005944+0.003692j)  (0.000923-0.034847j)  (0.007649-0.031646j)  (-0.001730-0.013996j)  (0.037912-0.002572j)  (-0.018728-0.052119j)  (-0.032617+0.018476j)  (-0.010179-0.010086j)  (-0.000599-0.010152j)  (0.003621+0.023449j)  (-0.034779-0.002195j)  (0.006346+0.018942j)  (-0.027761-0.017062j)  (-0.003913+0.031810j)  (0.027518+0.009798j)  (-0.000065+0.012936j)  (-0.017130-0.005739j)  (-0.027690+0.006256j)  (-0.016368-0.023904j)  (-0.023234+0.001618j)  (0.007571-0.012570j)  (-0.060628+0.008869j)  (0.011610+0.034841j)  (-0.032543+0.015486j)  (0.012520-0.007614j)  (-0.009965-0.012800j)  (-0.003720-0.017073j)  (0.006017-0.005525j)  (0.012971+0.003978j)  (0.003094-0.018229j)  (-0.017513+0.011601j)  (-0.008428-0.012133j)  (0.005679+0.001677j)
 (-0.006072-0.007633j)  (0.000549+0.003079j)  (-0.009420+0.015824j)  (-0.008770+0.014833j)  (-0.008239+0.000338j)  (-0.001168-0.003243j)  (0.009241+0.008832j)  (0.004582-0.002076j)  (-0.004689-0.010026j)  (-0.002348-0.009779j)  (-0.009253+0.008201j)  (-0.010877-0.007769j)  (0.000549-0.008693j)  (-0.003246-0.021711j)  (0.000316-0.007862j)  (-0.009279-0.000425j)  (0.001086+0.007384j)  (0.009859+0.002639j)  (0.002113-0.008406j)  (-0.004743-0.013361j)  (-0.008744+0.017309j)  (0.002068-0.002252j)  (0.017445-0.000914j)  (-0.006868+0.006028j)  (0.028680+0.026406j)  (0.004263-0.009456j)  (-0.004613-0.044224j)  (0.000711-0.055686j)  (0.009866+0.022341j)  (-0.002274+0.003183j)  (-0.008135-0.034207j)  (-0.008395+0.015226j)  (0.024952-0.017886j)  (-0.015274-0.000502j)  (-0.038737-0.039098j)  (-0.026658-0.026706j)  (0.018975-0.006685j)  (-0.001613+0.013146j)  (-0.051546-0.002784j)  (0.001854+0.005771j)  (-0.003498-0.008729j)  (0.003909-0.006356j)  (0.025033+0.037648j)  (0.034042+0.044655j)  (-0.010119+0.001128j)  (-0.003374-0.003595j)  (0.015893+0.027779j)  (0.026967-0.019398j)  (0.011387-0.024581j)  (0.002030+0.002379j)  (-0.054285+0.031522j)  (-0.014178-0.000996j)  (0.023887-0.023677j)  (0.006628+0.015612j)  (-0.048304+0.037396j)  (0.011772+0.005121j)  (0.004147+0.009065j)  (-0.006284-0.004762j)  (-0.012583-0.003847j)  (-0.015616-0.005222j)  (0.005946+0.006892j)  (-0.011577+0.006256j)  (0.006062-0.014656j)  (0.010038+0.011386j)
 (-0.009489+0.004800j)  (-0.002537-0.000841j)  (0.024208-0.001704j)  (-0.001612+0.008191j)  (0.026070+0.000462j)  (-0.007788+0.006966j)  (-0.017734-0.018516j)  (-0.010985-0.007098j)  (-0.000286+0.004677j)  (0.001282-0.007085j)  (0.006045+0.008701j)  (-0.015472-0.008548j)  (0.001766-0.004102j)  (-0.023428-0.006982j)  (-0.014754+0.014556j)  (-0.005926-0.008077j)  (-0.005360-0.001522j)  (-0.004105-0.011858j)  (0.001182-0.000731j)  (0.002306-0.007747j)  (-0.013407+0.013761j)  (0.005579+0.017042j)  (-0.012559+0.009676j)  (-0.007559-0.007292j)  (-0.014716-0.008835j)  (0.010269+0.019714j)  (-0.031553+0.010461j)  (-0.002238-0.018672j)  (-0.024256-0.009630j)  (-0.029991-0.022285j)  (0.014005-0.007204j)  (0.026804-0.032269j)  (-0.014385-0.004158j)  (0.038039+0.017139j)  (-0.017287+0.036151j)  (-0.010323-0.011748j)  (-0.031059+0.038199j)  (-0.034706+0.024710j)  (0.012406-0.040487j)  (-0.032536-0.028381j)  (-0.015643+0.018234j)  (-0.003607-0.028280j)  (0.020716-0.023297j)  (-0.002350+0.016287j)  (0.015844-0.005339j)  (0.021713+0.026753j)  (-0.027274+0.010359j)  (-0.011002+0.037041j)  (-0.016480+0.001933j)  (0.030888-0.010258j)  (0.026944+0.013075j)  (-0.035540+0.004679j)  (0.024697+0.021827j)  (-0.005365+0.019423j)  (-0.036348-0.045940j)  (-0.032390+0.018888j)  (-0.006906-0.001360j)  (-0.006308+0.001820j)  (0.007977+0.005882j)  (0.007351-0.000424j)  (0.002926+0.002922j)  (-0.029251+0.011738j)  (0.008124-0.015769j)  (-0.017184-0.002317j)
 (0.014375-0.007385j)  (-0.001827-0.009944j)  (0.008419+0.012646j)  (0.006977+0.000891j)  (-0.003258+0.007565j)  (-0.002452-0.014833j)  (-0.012017-0.010732j)  (0.030302+0.010967j)  (-0.003824+0.005848j)  (-0.020378-0.001659j)  (0.010002+0.008372j)  (-0.006893+0.001794j)  (-0.013260+0.026893j)  (0.006866-0.013518j)  (-0.010309-0.015473j)  (0.013808+0.011766j)  (-0.002997-0.007261j)  (0.008155+0.002124j)  (0.003482-0.016756j)  (-0.001449-0.008587j)  (0.005228+0.003441j)  (-0.000685+0.005484j)  (0.005523-0.001169j)  (-0.014556+0.003229j)  (0.004070+0.009244j)  (0.050524+0.027111j)  (-0.016250+0.002420j)  (-0.007123+0.002718j)  (-0.019033-0.005943j)  (0.008805+0.023864j)  (0.010827+0.010691j)  (0.006699+0.056884j)  (-0.006904+0.003118j)  (0.008957-0.027571j)  (-0.022117-0.009668j)  (-0.001373+0.013206j)  (-0.008107+0.026045j)  (0.002237+0.001439j)  (0.015783-0.018651j)  (0.051900+0.021864j)  (-0.003370-0.006333j)  (-0.037933-0.009252j)  (0.013824+0.003748j)  (-0.001127-0.017188j)  (0.021525-0.020387j)  (-0.001946-0.020083j)  (-0.016569-0.001284j)  (0.010748-0.050565j)  (0.001903-0.015163j)  (-0.008466-0.025451j)  (0.011149+0.039981j)  (0.006816-0.013026j)  (0.037193+0.021807j)  (0.006816-0.014647j)  (0.002776-0.035442j)  (0.054433-0.029330j)  (-0.007428+0.007389j)  (0.029654-0.018939j)  (-0.019557-0.010085j)  (-0.002636+0.008883j)  (-0.002828+0.020611j)  (0.020605+0.000364j)  (-0.013908+0.017961j)  (0.027827+0.020250j)
 (-0.000071-0.024263j)  (-0.003876+0.001177j)  (0.002995+0.006060j)  (-0.018719+0.028437j)  (-0.037264-0.027822j)  (0.033647+0.002527j)  (0.016875-0.065665j)  (-0.007422-0.018473j)  (0.001064-0.008090j)  (-0.011606+0.000495j)  (0.003841-0.001845j)  (-0.041217-0.020854j)  (0.003351-0.041391j)  (0.032169+0.028641j)  (0.015865-0.010550j)  (-0.010777-0.015013j)  (-0.007176+0.002223j)  (0.003273+0.012431j)  (0.000597-0.009792j)  (-0.012060+0.011962j)  (-0.010187+0.000234j)  (-0.009058-0.007402j)  (-0.016198+0.003728j)  (0.001669+0.009116j)  (-0.010825+0.013393j)  (0.007360+0.005470j)  (0.002255-0.004551j)  (0.006546-0.004088j)  (0.014619+0.025015j)  (-0.016672-0.000950j)  (-0.007841+0.020040j)  (0.004126-0.000722j)  (-0.000239-0.007345j)  (-0.001461+0.000252j)  (0.009937+0.011088j)  (0.028246+0.013173j)  (-0.004853+0.010905j)  (-0.014260-0.005883j)  (-0.015712+0.003697j)  (-0.006795+0.012923j)  (0.005034-0.000460j)  (-0.000386-0.002356j)  (-0.009729-0.005497j)  (0.007879+0.010870j)  (0.008816-0.010401j)  (0.004306+0.004990j)  (0.006812+0.001247j)  (-0.007425+0.010085j)  (-0.001379+0.001715j)  (0.007086-0.000688j)  (-0.005435-0.005003j)  (0.024520+0.017609j)  (-0.015034+0.020678j)  (-0.001331-0.026397j)  (-0.046183+0.001194j)  (0.004740+0.010575j)  (-0.006181+0.009908j)  (0.010909+0.011732j)  (0.004701-0.001971j)  (0.013306-0.005126j)  (0.019571-0.001166j)  (-0.033245+0.023151j)  (0.007303+0.029031j)  (-0.000041-0.011069j)
 (0.192852+0.000000j)  (0.019455-0.030307j)  (0.002336+0.011893j)  (-0.008446-0.003578j)  (-0.021079+0.014946j)  (0.002072-0.013806j)  (0.008721+0.048392j)  (-0.018216-0.030903j)  (0.019455+0.030307j)  (0.129916+0.000000j)  (-0.004873+0.005478j)  (-0.007457-0.003415j)  (-0.020540-0.003093j)  (-0.001565+0.012700j)  (-0.015429+0.016150j)  (-0.010309-0.003908j)  (0.002336-0.011893j)  (-0.004873-0.005478j)  (0.082080+0.000000j)  (0.001122-0.003004j)  (0.012611-0.004257j)  (-0.012270+0.002927j)  (-0.001950+0.008522j)  (0.010461+0.001675j)  (-0.008446+0.003578j)  (-0.007457+0.003415j)  (0.001122+0.003004j)  (0.099685+0.000000j)  (0.016728+0.007580j)  (-0.007123-0.001471j)  (-0.006458-0.001239j)  (0.007717-0.007467j)  (-0.021079-0.014946j)  (-0.020540+0.003093j)  (0.012611+0.004257j)  (0.016728-0.007580j)  (0.101046+0.000000j)  (-0.009183-0.005548j)  (0.016048-0.005578j)  (0.001349+0.017591j)  (0.002072+0.013806j)  (-0.001565-0.012700j)  (-0.012270-0.002927j)  (-0.007123+0.001471j)  (-0.009183+0.005548j)  (0.092742+0.000000j)  (-0.021517+0.011152j)  (-0.006650-0.003054j)  (0.008721-0.048392j)  (-0.015429-0.016150j)  (-0.001950-0.008522j)  (-0.006458+0.001239j)  (0.016048+0.005578j)  (-0.021517-0.011152j)  (0.117955+0.000000j)  (-0.007885+0.021080j)  (-0.018216+0.030903j)  (-0.010309+0.003908j)  (0.010461-0.001675j)  (0.007717+0.007467j)  (0.001349-0.017591j)  (-0.006650+0.003054j)  (-0.007885-0.021080j)  (0.092643+0.000000j)
 (0.038257+0.015538j)  (-0.049758+0.013337j)  (-0.014788+0.022520j)  (-0.005332+0.024260j)  (-0.044053-0.000934j)  (-0.028298+0.030601j)  (0.004081+0.009459j)  (0.006380+0.014917j)  (-0.011903+0.025860j)  (-0.054117-0.030076j)  (0.000912+0.005928j)  (-0.018259+0.017163j)  (-0.018256+0.007658j)  (-0.073867-0.010637j)  (0.006722-0.004459j)  (-0.005434+0.015643j)  (-0.002114+0.000363j)  (0.001967+0.022378j)  (0.000499-0.001347j)  (-0.008326+0.000649j)  (0.011329+0.013035j)  (0.001565-0.006535j)  (0.006689-0.002531j)  (-0.012140-0.012057j)  (0.002672+0.006812j)  (0.018440-0.003232j)  (-0.011103-0.021981j)  (0.000543-0.027462j)  (-0.010838+0.006337j)  (-0.002593+0.009065j)  (0.014232+0.009246j)  (-0.001446-0.011527j)  (-0.004731-0.003569j)  (0.011465+0.022255j)  (0.002618-0.015790j)  (-0.000461-0.000883j)  (0.005549+0.018596j)  (0.022241+0.003354j)  (-0.003995+0.008339j)  (0.009976-0.010572j)  (0.001092+0.025906j)  (0.000803-0.017315j)  (-0.008398-0.005842j)  (0.005376-0.011573j)  (-0.009539+0.013982j)  (0.002314-0.016636j)  (-0.009335-0.004073j)  (0.002638+0.011725j)  (0.001845-0.010564j)  (0.007433+0.026850j)  (0.012474+0.015935j)  (0.015223+0.000580j)  (-0.011028+0.032080j)  (0.035168+0.033446j)  (0.006486-0.003582j)  (0.012653-0.005382j)  (-0.016632+0.007066j)  (0.024463-0.012732j)  (-0.002383-0.006691j)  (0.007999-0.010328j)  (0.023166-0.005434j)  (0.026078-0.023410j)  (0.017983+0.010703j)  (-0.022732+0.004497j)
