 (0.146485+0.000000j)  (-0.027979+0.001476j)  (-0.003603+0.010781j)  (-0.009989+0.001330j)  (-0.034839-0.011063j)  (-0.005734-0.009518j)  (-0.020645-0.000910j)  (-0.018591+0.012083j)  (-0.027979-0.001476j)  (0.123539+0.000000j)  (-0.012816-0.003967j)  (-0.005981+0.005761j)  (0.020923-0.006967j)  (-0.009721+0.011398j)  (0.011315+0.012805j)  (0.019206-0.032167j)  (-0.003603-0.010781j)  (-0.012816+0.003967j)  (0.086719+0.000000j)  (0.012074-0.000858j)  (-0.004098+0.008033j)  (0.001729+0.011438j)  (-0.011319+0.011327j)  (0.007007-0.008120j)  (-0.009989-0.001330j)  (-0.005981-0.005761j)  (0.012074+0.000858j)  (0.088846+0.000000j)  (0.004777-0.006460j)  (0.002675+0.007803j)  (0.001342-0.004794j)  (0.008521+0.004727j)  (-0.034839+0.011063j)  (0.020923+0.006967j)  (-0.004098-0.008033j)  (0.004777+0.006460j)  (0.118761+0.000000j)  (-0.004954+0.016402j)  (0.028515+0.002950j)  (0.020006-0.022688j)  (-0.005734+0.009518j)  (-0.009721-0.011398j)  (0.001729-0.011438j)  (0.002675-0.007803j)  (-0.004954-0.016402j)  (0.084406+0.000000j)  (-0.000852+0.003311j)  (-0.006113-0.031277j)  (-0.020645+0.000910j)  (0.011315-0.012805j)  (-0.011319-0.011327j)  (0.001342+0.004794j)  (0.028515-0.002950j)  (-0.000852-0.003311j)  (0.106586+0.000000j)  (0.012897-0.014910j)  (-0.018591-0.012083j)  (0.019206+0.032167j)  (0.007007+0.008120j)  (0.008521-0.004727j)  (0.020006+0.022688j)  (-0.006113+0.031277j)  (0.012897+0.014910j)  (0.120929+0.000000j)
 (0.003129+0.009309j)  (-0.014280+0.004632j)  (0.010166+0.075123j)  (0.011092+0.023975j)  (-0.013669-0.024957j)  (-0.027737+0.022848j)  (-0.003568-0.003935j)  (0.026445+0.003791j)  (-0.000392+0.006337j)  (0.018317-0.004722j)  (-0.004322-0.020099j)  (-0.030489-0.003078j)  (-0.000223+0.017468j)  (0.016630-0.011805j)  (-0.000217+0.002270j)  (-0.025079-0.004314j)  (0.003080-0.007722j)  (-0.001102+0.004931j)  (0.020174+0.005348j)  (0.005023-0.001453j)  (0.015286+0.001133j)  (-0.001460-0.004358j)  (0.000992+0.009508j)  (-0.001476-0.005845j)  (0.004431-0.005396j)  (0.006623-0.005094j)  (0.008918-0.018741j)  (-0.007995+0.002292j)  (0.015928-0.019562j)  (-0.013810+0.003067j)  (0.010276+0.002973j)  (0.009563+0.001860j)  (-0.000160-0.003413j)  (0.001612-0.012181j)  (-0.015244-0.058587j)  (-0.018398+0.001458j)  (0.027816+0.039778j)  (0.014027+0.001897j)  (-0.018397+0.003844j)  (-0.027455-0.005005j)  (0.007455-0.009479j)  (-0.005544-0.000052j)  (-0.010420+0.019291j)  (0.005795+0.007642j)  (0.019342-0.016046j)  (-0.007339-0.014447j)  (-0.002606-0.000423j)  (-0.003429+0.028338j)  (-0.011712+0.002888j)  (-0.005734+0.007887j)  (-0.012653-0.037569j)  (0.009808-0.000585j)  (0.011901+0.022436j)  (0.016098-0.012541j)  (-0.007527+0.001669j)  (-0.014874+0.006774j)  (-0.007841+0.006389j)  (0.002587-0.004359j)  (0.004412-0.015274j)  (-0.007584-0.016756j)  (-0.003025+0.017444j)  (0.031804+0.014107j)  (-0.010834+0.016746j)  (-0.024837-0.013268j)
 (-0.024058+0.023714j)  (-0.018825-0.035126j)  (0.015094-0.020140j)  (-0.005876+0.024988j)  (-0.007090+0.015570j)  (-0.045725-0.031994j)  (0.016357-0.020842j)  (0.003761-0.020517j)  (0.009543-0.010127j)  (0.032135+0.022214j)  (-0.000697+0.019606j)  (0.011459-0.029269j)  (0.008501+0.002610j)  (0.034958+0.013301j)  (0.009162+0.005495j)  (-0.006275+0.033586j)  (-0.004812-0.005175j)  (0.001953-0.004929j)  (-0.016991+0.002094j)  (0.003362+0.002546j)  (0.000799+0.003159j)  (0.002645+0.016612j)  (-0.001384-0.008888j)  (0.004588-0.008350j)  (0.000680-0.012957j)  (0.005079-0.006327j)  (-0.004480-0.003874j)  (0.001593+0.011083j)  (0.009210-0.008096j)  (-0.005653+0.002232j)  (-0.015833-0.002288j)  (-0.007127-0.004607j)  (0.007158+0.003865j)  (0.009301+0.011586j)  (-0.011893+0.005394j)  (0.010229-0.030039j)  (-0.011936-0.006723j)  (0.035865+0.000102j)  (0.007226+0.018738j)  (-0.016789+0.028223j)  (-0.012610-0.018327j)  (-0.017162-0.018891j)  (-0.004518+0.020579j)  (-0.007801+0.001283j)  (-0.003816-0.005144j)  (-0.003512-0.022639j)  (0.005124+0.003950j)  (0.019819+0.002000j)  (-0.001448+0.006858j)  (0.017061+0.016514j)  (-0.009054-0.003129j)  (-0.002084-0.027537j)  (0.003127+0.002285j)  (0.024678+0.009157j)  (0.006630+0.014011j)  (0.006798+0.009228j)  (0.005178-0.002339j)  (0.027526+0.023584j)  (-0.003383+0.004405j)  (0.028655-0.021102j)  (-0.008771-0.004126j)  (0.006001+0.045158j)  (-0.003499+0.008326j)  (-0.019261+0.044149j)
 (0.012188-0.000759j)  (0.032347+0.007196j)  (-0.028572+0.021797j)  (-0.029485+0.062041j)  (-0.023206+0.041434j)  (0.016076+0.019741j)  (0.034873-0.020198j)  (0.019797-0.005130j)  (-0.009191+0.000159j)  (-0.027996+0.010988j)  (0.016363-0.004049j)  (0.008051-0.040929j)  (0.004781-0.002112j)  (-0.000682-0.008866j)  (0.012376+0.027886j)  (0.004075+0.010919j)  (0.008379-0.015588j)  (-0.001987-0.007641j)  (0.011692-0.012859j)  (0.004172-0.016575j)  (-0.000840+0.008497j)  (-0.014456-0.004142j)  (-0.017061-0.013978j)  (-0.014833+0.000088j)  (0.000001+0.001336j)  (-0.016458-0.025457j)  (0.013043-0.008399j)  (0.007970-0.008065j)  (0.001877-0.012397j)  (-0.002294-0.012689j)  (-0.012181-0.018547j)  (0.003950+0.002823j)  (-0.024709-0.001837j)  (-0.039722+0.007435j)  (0.023664-0.018932j)  (-0.011728-0.036899j)  (0.010046-0.053247j)  (-0.014016-0.017118j)  (-0.012232+0.036688j)  (0.000934+0.011120j)  (0.014221+0.014987j)  (0.018007+0.014444j)  (-0.011483-0.008161j)  (-0.024152+0.014086j)  (-0.010182-0.003482j)  (0.007999-0.000715j)  (0.019030+0.011301j)  (-0.014972+0.008534j)  (-0.033972-0.003579j)  (-0.026992-0.007001j)  (0.005067-0.006739j)  (0.015838-0.013289j)  (0.007569-0.014452j)  (0.002696-0.004745j)  (-0.024158+0.022967j)  (0.002802+0.016510j)  (-0.011564-0.011970j)  (-0.024045-0.001245j)  (0.017828+0.009312j)  (0.016831-0.024714j)  (0.004315-0.010676j)  (-0.004157-0.003750j)  (-0.032990+0.012231j)  (-0.013494+0.008755j)
 (0.007468+0.007416j)  (-0.019760+0.026426j)  (-0.005551+0.040628j)  (-0.009052-0.015783j)  (0.038502+0.003957j)  (0.014296-0.002607j)  (0.031834-0.003694j)  (0.007132-0.002781j)  (0.001800-0.007290j)  (0.023597-0.047148j)  (-0.000835-0.001131j)  (0.018990+0.001639j)  (-0.013905+0.005168j)  (-0.016346+0.014659j)  (-0.011103+0.007938j)  (0.014103+0.016162j)  (0.008969-0.006052j)  (0.014229+0.000552j)  (-0.003487+0.005522j)  (0.005936+0.004282j)  (-0.002286-0.000153j)  (0.007317-0.004648j)  (-0.002781-0.002822j)  (-0.000771+0.002204j)  (-0.005324-0.010491j)  (-0.007645-0.003991j)  (-0.003166+0.012215j)  (0.013162+0.009111j)  (-0.013430-0.009835j)  (0.001779-0.016487j)  (0.003926-0.004155j)  (0.000059+0.001532j)  (-0.014662-0.009627j)  (-0.005431-0.030106j)  (-0.008810-0.022857j)  (0.009219+0.001200j)  (-0.051568+0.002729j)  (-0.021400+0.016821j)  (-0.024102+0.002759j)  (-0.000527+0.009660j)  (0.000317+0.007337j)  (-0.017700+0.006661j)  (-0.027953+0.012544j)  (-0.009106-0.015647j)  (-0.000790+0.017722j)  (0.005297+0.031389j)  (0.014536+0.008444j)  (0.012266-0.000758j)  (-0.002981+0.008045j)  (-0.005039-0.028857j)  (-0.012139-0.005448j)  (0.020727+0.003641j)  (-0.028951+0.019152j)  (0.003781+0.009358j)  (-0.030392+0.019058j)  (0.006280+0.007104j)  (-0.017392-0.022983j)  (0.030478-0.008274j)  (-0.003469-0.014540j)  (0.019807+0.001072j)  (-0.030757-0.006559j)  (-0.030277+0.001171j)  (-0.018300-0.003640j)  (-0.012648+0.031838j)
 (0.037122+0.022992j)  (-0.015543+0.004792j)  (0.029975-0.036231j)  (-0.006898-0.017597j)  (0.039849-0.016025j)  (0.008290+0.011564j)  (-0.016806-0.019962j)  (0.022223+0.016860j)  (-0.027473+0.003812j)  (0.009781+0.003585j)  (-0.008579+0.005638j)  (0.021591-0.013531j)  (-0.015733-0.000748j)  (0.002158-0.012639j)  (0.007915+0.003640j)  (-0.018576-0.005288j)  (0.021903+0.000807j)  (0.005526+0.015998j)  (-0.020893+0.005281j)  (0.007990+0.011964j)  (0.007944-0.003083j)  (0.008387-0.012621j)  (0.006279-0.005026j)  (-0.005815-0.005240j)  (-0.007004+0.007679j)  (-0.005297+0.002595j)  (-0.013299-0.016468j)  (0.001152-0.008606j)  (-0.007979-0.008000j)  (-0.000249-0.009735j)  (-0.001928+0.015506j)  (0.004118-0.012100j)  (-0.032568-0.018116j)  (-0.001446-0.005948j)  (-0.012763+0.036649j)  (0.008117-0.001932j)  (-0.027768+0.010597j)  (-0.001791-0.018854j)  (0.013864+0.007079j)  (-0.014816+0.001596j)  (-0.016373+0.018703j)  (-0.008969-0.001315j)  (0.019382+0.006823j)  (-0.015052+0.008178j)  (-0.001072+0.017670j)  (-0.012919+0.002973j)  (0.021469-0.014660j)  (-0.015843+0.017604j)  (-0.015048+0.003646j)  (-0.012699-0.005525j)  (-0.013771+0.007291j)  (0.007909-0.018487j)  (-0.036537+0.013876j)  (0.007437-0.014624j)  (0.020636+0.001596j)  (-0.017375-0.011381j)  (-0.019927-0.019603j)  (-0.015969+0.019203j)  (-0.020640-0.020368j)  (0.016542-0.003705j)  (-0.016910-0.004363j)  (0.017326-0.009221j)  (-0.001078+0.031312j)  (-0.014506-0.053116j)
 (0.015965-0.057670j)  (0.011801-0.007007j)  (-0.022950-0.005783j)  (-0.019102-0.035020j)  (-0.006548-0.002097j)  (-0.025555+0.013119j)  (0.009870-0.042606j)  (-0.015422-0.011208j)  (-0.011382+0.028022j)  (0.026216+0.025107j)  (-0.014865-0.009323j)  (0.025911+0.013374j)  (-0.002249+0.005219j)  (0.031763-0.031409j)  (-0.004132+0.002991j)  (0.017076+0.014892j)  (-0.012662-0.002163j)  (0.001245+0.013169j)  (0.009095+0.011817j)  (-0.016173+0.007963j)  (0.000806+0.013879j)  (-0.001911+0.006038j)  (-0.006884+0.002564j)  (-0.021013-0.013799j)  (0.008713-0.019231j)  (-0.001111+0.011360j)  (0.007365-0.002655j)  (-0.009204+0.009966j)  (0.002152-0.001928j)  (0.005963-0.008061j)  (0.003081+0.018556j)  (-0.011529+0.016392j)  (0.016215+0.044488j)  (-0.005998+0.016807j)  (0.010550-0.011124j)  (0.024798+0.010609j)  (-0.000911+0.002283j)  (0.000225-0.038429j)  (0.013079+0.024741j)  (0.008668+0.005427j)  (0.015134-0.004739j)  (0.000675+0.009723j)  (0.017209-0.006117j)  (0.011880-0.015995j)  (0.008014-0.002863j)  (-0.013139-0.020734j)  (0.003673+0.003223j)  (0.015508+0.009491j)  (-0.000522+0.023003j)  (0.020123-0.013495j)  (0.011925+0.006779j)  (0.028729+0.010082j)  (-0.002538+0.012362j)  (0.012092-0.022465j)  (0.016454+0.021799j)  (0.018081-0.010229j)  (-0.013631+0.024998j)  (-0.012447+0.010261j)  (0.007549+0.001865j)  (0.017494+0.036670j)  (-0.021969+0.011366j)  (0.045050+0.001252j)  (-0.008341+0.015611j)  (0.020694+0.030464j)
 (0.028621+0.005729j)  (0.043839-0.002085j)  (-0.011543+0.026349j)  (-0.011272+0.001833j)  (0.027070-0.000795j)  (-0.005255-0.015419j)  (-0.023770+0.050348j)  (0.003301-0.039590j)  (-0.019680+0.000569j)  (-0.005216+0.026295j)  (0.008239-0.010250j)  (0.015931-0.005591j)  (-0.006285+0.016752j)  (0.002319+0.029983j)  (-0.006580-0.032773j)  (-0.019215+0.011421j)  (0.016227-0.005631j)  (-0.011711+0.006708j)  (0.013073-0.004805j)  (-0.007030+0.003613j)  (-0.011924-0.011265j)  (-0.006139+0.042549j)  (0.014363+0.008372j)  (0.016061+0.005381j)  (0.019673+0.002540j)  (-0.018433-0.002238j)  (-0.000066-0.002242j)  (-0.012461-0.005627j)  (-0.010326+0.001692j)  (0.010776+0.004335j)  (0.006961+0.007987j)  (-0.007407+0.006890j)  (-0.029257+0.015339j)  (-0.007419+0.013188j)  (-0.010809-0.032519j)  (0.009646-0.001079j)  (-0.031441+0.007082j)  (0.003517+0.005938j)  (0.015778-0.060246j)  (0.018499+0.011587j)  (0.012147+0.003381j)  (0.003895+0.010132j)  (-0.022329+0.000818j)  (0.001386-0.010921j)  (0.011910+0.018025j)  (0.003226-0.006803j)  (-0.029447-0.029006j)  (0.007295+0.011543j)  (-0.026136+0.003697j)  (-0.009550-0.005269j)  (-0.007673-0.022196j)  (0.010514-0.000302j)  (-0.011979+0.003230j)  (0.019761+0.013933j)  (0.021768-0.053752j)  (0.001317+0.002662j)  (0.002017-0.012975j)  (-0.028586-0.006854j)  (0.008682-0.018347j)  (0.009415-0.002909j)  (-0.020548-0.020528j)  (-0.010656+0.027437j)  (0.055409-0.039809j)  (-0.018058+0.031149j)
 (0.003129-0.009309j)  (-0.000392-0.006337j)  (0.003080+0.007722j)  (0.004431+0.005396j)  (-0.000160+0.003413j)  (0.007455+0.009479j)  (-0.011712-0.002888j)  (-0.007841-0.006389j)  (-0.014280-0.004632j)  (0.018317+0.004722j)  (-0.001102-0.004931j)  (0.006623+0.005094j)  (0.001612+0.012181j)  (-0.005544+0.000052j)  (-0.005734-0.007887j)  (0.002587+0.004359j)  (0.010166-0.075123j)  (-0.004322+0.020099j)  (0.020174-0.005348j)  (0.008918+0.018741j)  (-0.015244+0.058587j)  (-0.010420-0.019291j)  (-0.012653+0.037569j)  (0.004412+0.015274j)  (0.011092-0.023975j)  (-0.030489+0.003078j)  (0.005023+0.001453j)  (-0.007995-0.002292j)  (-0.018398-0.001458j)  (0.005795-0.007642j)  (0.009808+0.000585j)  (-0.007584+0.016756j)  (-0.013669+0.024957j)  (-0.000223-0.017468j)  (0.015286-0.001133j)  (0.015928+0.019562j)  (0.027816-0.039778j)  (0.019342+0.016046j)  (0.011901-0.022436j)  (-0.003025-0.017444j)  (-0.027737-0.022848j)  (0.016630+0.011805j)  (-0.001460+0.004358j)  (-0.013810-0.003067j)  (0.014027-0.001897j)  (-0.007339+0.014447j)  (0.016098+0.012541j)  (0.031804-0.014107j)  (-0.003568+0.003935j)  (-0.000217-0.002270j)  (0.000992-0.009508j)  (0.010276-0.002973j)  (-0.018397-0.003844j)  (-0.002606+0.000423j)  (-0.007527-0.001669j)  (-0.010834-0.016746j)  (0.026445-0.003791j)  (-0.025079+0.004314j)  (-0.001476+0.005845j)  (0.009563-0.001860j)  (-0.027455+0.005005j)  (-0.003429-0.028338j)  (-0.014874-0.006774j)  (-0.024837+0.013268j)
 (0.075384+0.000000j)  (0.008606-0.013455j)  (0.008932+0.003335j)  (0.001619-0.007025j)  (-0.001240-0.002917j)  (-0.000790+0.012366j)  (0.002573-0.001308j)  (-0.001775+0.000451j)  (0.008606+0.013455j)  (0.090058+0.000000j)  (0.021202-0.014906j)  (-0.001432-0.024355j)  (-0.008995+0.022359j)  (-0.002203+0.001831j)  (0.003722+0.007084j)  (-0.007690-0.007211j)  (0.008932-0.003335j)  (0.021202+0.014906j)  (0.190718+0.000000j)  (0.006578-0.021977j)  (-0.047209+0.016811j)  (0.014317+0.005009j)  (-0.004593-0.002794j)  (0.000715-0.023904j)  (0.001619+0.007025j)  (-0.001432+0.024355j)  (0.006578+0.021977j)  (0.101474+0.000000j)  (-0.002865-0.000722j)  (-0.009036+0.013401j)  (0.008358-0.002900j)  (0.021969-0.004441j)  (-0.001240+0.002917j)  (-0.008995-0.022359j)  (-0.047209-0.016811j)  (-0.002865+0.000722j)  (0.138685+0.000000j)  (-0.004333-0.009177j)  (0.006826+0.018589j)  (-0.016276+0.034692j)  (-0.000790-0.012366j)  (-0.002203-0.001831j)  (0.014317-0.005009j)  (-0.009036-0.013401j)  (-0.004333+0.009177j)  (0.124675+0.000000j)  (-0.002610-0.002477j)  (-0.037135-0.013202j)  (0.002573+0.001308j)  (0.003722-0.007084j)  (-0.004593+0.002794j)  (0.008358+0.002900j)  (0.006826-0.018589j)  (-0.002610+0.002477j)  (0.078194+0.000000j)  (0.003544+0.000921j)  (-0.001775-0.000451j)  (-0.007690+0.007211j)  (0.000715+0.023904j)  (0.021969+0.004441j)  (-0.016276-0.034692j)  (-0.037135+0.013202j)  (0.003544-0.000921j)  (0.135432+0.000000j)
 (0.000210+0.001073j)  (-0.013509+0.004879j)  (-0.018276-0.003740j)  (0.007087+0.022116j)  (0.024414-0.006659j)  (0.006607+0.004234j)  (0.003750+0.004688j)  (-0.000840+0.012412j)  (0.001484+0.009554j)  (0.008090+0.007472j)  (0.003138+0.004008j)  (0.006555-0.006343j)  (0.006073+0.003606j)  (-0.007701+0.020893j)  (-0.009296-0.001033j)  (-0.009926-0.006138j)  (0.007819+0.033614j)  (-0.006604+0.037249j)  (-0.027983-0.041828j)  (0.043380+0.004378j)  (0.029619-0.012400j)  (-0.037323+0.028259j)  (-0.032975-0.008564j)  (-0.021854-0.006505j)  (-0.009593+0.027978j)  (-0.024046-0.006360j)  (-0.000570-0.013986j)  (0.007757+0.037939j)  (-0.000634+0.009287j)  (-0.035028+0.000570j)  (-0.002501-0.003445j)  (-0.015480-0.024713j)  (0.004632-0.011905j)  (0.014822-0.018541j)  (0.015779+0.015690j)  (-0.015447-0.005358j)  (-0.008548-0.007977j)  (0.039543-0.040677j)  (0.028790+0.011335j)  (0.022777+0.008092j)  (-0.003531+0.013811j)  (0.032744+0.020601j)  (-0.019624-0.005492j)  (0.015466-0.034806j)  (-0.002083-0.022100j)  (0.034039+0.038395j)  (-0.001131-0.010235j)  (-0.011351+0.023310j)  (-0.004160-0.008936j)  (-0.003527-0.003306j)  (0.024432-0.005497j)  (0.002280+0.001880j)  (0.014277+0.001341j)  (-0.003169+0.005314j)  (-0.004828-0.022092j)  (0.007845-0.004600j)  (-0.011992-0.012422j)  (-0.033821-0.010608j)  (0.024875-0.017499j)  (-0.012930+0.037838j)  (-0.001963+0.006521j)  (-0.073912-0.015447j)  (-0.003714+0.007972j)  (0.000501-0.028873j)
