 (0.191300+0.000000j)  (0.006234+0.007904j)  (0.009877-0.015376j)  (0.079965-0.079052j)  (-0.097213+0.049757j)  (-0.062964-0.006008j)  (0.173663-0.035262j)  (-0.137736-0.059603j)  (0.006234-0.007904j)  (0.033284+0.000000j)  (-0.002282-0.005014j)  (-0.002770-0.017600j)  (-0.001508+0.014748j)  (-0.005393+0.008568j)  (-0.004454-0.027907j)  (-0.017471+0.009505j)  (0.009877+0.015376j)  (-0.002282+0.005014j)  (0.039041+0.000000j)  (0.011234-0.004223j)  (-0.010153-0.008501j)  (-0.009853-0.010615j)  (0.018579+0.020381j)  (-0.004880-0.017757j)  (0.079965+0.079052j)  (-0.002770+0.017600j)  (0.011234+0.004223j)  (0.130759+0.000000j)  (-0.077002-0.035771j)  (-0.028679-0.038247j)  (0.108536+0.078181j)  (-0.037727-0.112051j)  (-0.097213-0.049757j)  (-0.001508-0.014748j)  (-0.010153+0.008501j)  (-0.077002+0.035771j)  (0.108772+0.000000j)  (0.038307+0.023398j)  (-0.126712-0.026354j)  (0.071428+0.085172j)  (-0.062964+0.006008j)  (-0.005393-0.008568j)  (-0.009853+0.010615j)  (-0.028679+0.038247j)  (0.038307-0.023398j)  (0.067432+0.000000j)  (-0.069047+0.029956j)  (0.068887+0.022575j)  (0.173663+0.035262j)  (-0.004454+0.027907j)  (0.018579-0.020381j)  (0.108536-0.078181j)  (-0.126712+0.026354j)  (-0.069047-0.029956j)  (0.246500+0.000000j)  (-0.146062-0.109886j)  (-0.137736+0.059603j)  (-0.017471-0.009505j)  (-0.004880+0.017757j)  (-0.037727+0.112051j)  (0.071428-0.085172j)  (0.068887-0.022575j)  (-0.146062+0.109886j)  (0.180861+0.000000j)
 (0.043724+0.049776j)  (-0.018328-0.064829j)  (-0.074283-0.053332j)  (-0.077858-0.010317j)  (-0.165279-0.157361j)  (-0.040713+0.013330j)  (0.035981+0.020588j)  (0.040494+0.177016j)  (0.000612+0.001525j)  (-0.006435-0.001893j)  (-0.007940+0.010407j)  (-0.011111+0.013758j)  (-0.036545+0.003646j)  (-0.002730+0.009139j)  (0.009248-0.002643j)  (0.027850+0.013994j)  (-0.008337+0.000485j)  (0.007791-0.016780j)  (-0.002758-0.012997j)  (-0.005461-0.010969j)  (0.009015-0.032696j)  (-0.018591-0.000538j)  (0.003360+0.008327j)  (-0.017251+0.016703j)  (-0.005125+0.042027j)  (0.030223-0.035953j)  (-0.002215-0.062444j)  (-0.030844-0.062182j)  (0.002246-0.165768j)  (-0.028410-0.029609j)  (0.000116+0.038716j)  (-0.081905+0.114917j)  (-0.008432-0.047685j)  (-0.020174+0.050358j)  (0.024510+0.058758j)  (0.039563+0.045038j)  (0.039505+0.156117j)  (0.036431+0.008845j)  (-0.021946-0.021095j)  (0.038055-0.124233j)  (-0.013642-0.017490j)  (0.009305+0.021899j)  (0.023397+0.018248j)  (0.037983+0.007045j)  (0.071420+0.063234j)  (0.026991-0.007799j)  (-0.008759-0.007998j)  (-0.021715-0.077317j)  (0.038817+0.061328j)  (-0.007215-0.078689j)  (-0.069990-0.082768j)  (-0.088072-0.048416j)  (-0.150164-0.229402j)  (-0.060104-0.003812j)  (0.044530+0.035975j)  (-0.012751+0.209854j)  (-0.053368-0.024600j)  (0.032450+0.050042j)  (0.080809+0.022544j)  (0.088156-0.005968j)  (0.213780+0.078407j)  (0.043677-0.027253j)  (-0.037756-0.000435j)  (-0.103486-0.145445j)
 (0.071406-0.030056j)  (-0.034930+0.149280j)  (0.015496+0.053995j)  (0.109907+0.105657j)  (-0.047458-0.097279j)  (-0.033564+0.100239j)  (-0.119934-0.038913j)  (-0.071295+0.023601j)  (-0.000758-0.008027j)  (0.022169+0.013405j)  (0.004029+0.004177j)  (0.027116-0.015435j)  (-0.016923-0.002640j)  (0.004661+0.010615j)  (-0.012094+0.006588j)  (0.004935+0.012573j)  (0.005276+0.007093j)  (-0.025606+0.014936j)  (-0.006547+0.010733j)  (0.000383+0.021199j)  (0.009100-0.013155j)  (-0.020737+0.003833j)  (-0.008432-0.015486j)  (-0.011540-0.004235j)  (0.064566+0.028733j)  (-0.100139+0.072085j)  (-0.017107+0.030178j)  (-0.014345+0.133666j)  (0.029557-0.073686j)  (-0.071232+0.030389j)  (-0.046329-0.107847j)  (-0.047841-0.026184j)  (-0.059184-0.013075j)  (0.060185-0.085159j)  (0.013139-0.034431j)  (-0.030780-0.113228j)  (-0.005541+0.081371j)  (0.054664-0.044560j)  (0.070540+0.074017j)  (0.057308+0.002326j)  (-0.030265+0.019507j)  (0.009239-0.073113j)  (-0.008097-0.019751j)  (-0.056690-0.045336j)  (0.033483+0.047225j)  (0.019018-0.041411j)  (0.061776+0.006594j)  (0.039292-0.014144j)  (0.099422-0.014220j)  (-0.078624+0.164943j)  (0.008001+0.058118j)  (0.099566+0.161094j)  (-0.026938-0.137035j)  (-0.065939+0.114337j)  (-0.153675-0.085041j)  (-0.101014+0.012262j)  (-0.057621+0.056566j)  (-0.027971-0.144908j)  (-0.038951-0.047894j)  (-0.146939-0.062168j)  (0.085537+0.075967j)  (-0.006602-0.106710j)  (0.148738-0.018699j)  (0.055440-0.054694j)
 (0.101102+0.036974j)  (0.111260+0.157614j)  (-0.029778+0.124500j)  (-0.123761+0.052104j)  (0.058325+0.011619j)  (0.062100-0.058100j)  (0.069473+0.064041j)  (-0.013924+0.070455j)  (0.013183-0.021927j)  (0.022521-0.006410j)  (0.024788+0.006190j)  (-0.003865+0.022007j)  (0.008626-0.008567j)  (0.001127-0.011138j)  (0.011773-0.005874j)  (0.013104+0.016210j)  (-0.003503+0.029119j)  (-0.006203+0.019769j)  (-0.027473-0.000234j)  (-0.016193-0.023077j)  (0.012118+0.008551j)  (0.009843+0.008049j)  (-0.007130+0.015361j)  (-0.003681+0.003714j)  (0.030042+0.065639j)  (-0.034060+0.127846j)  (-0.082720+0.046434j)  (-0.090913-0.046241j)  (0.029669+0.049782j)  (0.060125+0.001882j)  (-0.016694+0.066931j)  (-0.057727+0.031041j)  (-0.059912-0.060259j)  (-0.015769-0.127885j)  (0.055359-0.067351j)  (0.089865+0.008358j)  (-0.036249-0.028211j)  (-0.052142+0.009529j)  (-0.029068-0.071055j)  (0.035610-0.043263j)  (-0.043375-0.012615j)  (-0.046678-0.067786j)  (0.012495-0.047501j)  (0.052224-0.016109j)  (-0.025550-0.007968j)  (-0.015702+0.027478j)  (-0.030996-0.024843j)  (0.006227-0.034480j)  (0.104936+0.086762j)  (0.085513+0.205251j)  (-0.074738+0.144850j)  (-0.160557+0.016434j)  (0.072314+0.038992j)  (0.089355-0.056116j)  (0.061586+0.102787j)  (-0.045128+0.091266j)  (-0.105135-0.002160j)  (-0.150422-0.097719j)  (-0.015399-0.124629j)  (0.103611-0.087655j)  (-0.069466+0.013593j)  (-0.038056+0.080861j)  (-0.096321-0.044461j)  (-0.015961-0.091286j)
 (0.009178+0.170807j)  (0.139966+0.050042j)  (0.083802-0.074856j)  (-0.057313-0.025812j)  (-0.005805+0.058743j)  (-0.119646+0.079395j)  (-0.060867-0.046585j)  (0.056811-0.013925j)  (0.022921+0.005027j)  (0.015788-0.013956j)  (-0.006937-0.015821j)  (-0.016085-0.000416j)  (0.000256+0.004953j)  (0.006978+0.024203j)  (-0.014063+0.002355j)  (0.000690-0.010798j)  (-0.021690+0.020325j)  (0.003766+0.018841j)  (0.017837+0.002389j)  (0.003878-0.012825j)  (-0.015934+0.007183j)  (-0.023332-0.010878j)  (0.005139-0.017154j)  (0.004584-0.002211j)  (-0.090228+0.094435j)  (0.036557+0.105493j)  (0.083529+0.012395j)  (-0.012126-0.049673j)  (-0.039052+0.018912j)  (-0.113673-0.034380j)  (-0.002860-0.061900j)  (0.046619+0.018176j)  (0.054067-0.109639j)  (-0.074233-0.072677j)  (-0.079601+0.014915j)  (0.026604+0.034648j)  (0.026350-0.032758j)  (0.107654-0.021228j)  (0.016169+0.049739j)  (-0.042853-0.007412j)  (-0.015841-0.077605j)  (-0.061801-0.018792j)  (-0.026910+0.039801j)  (0.017892+0.014403j)  (-0.002851-0.033579j)  (0.049251-0.035104j)  (0.033413+0.021989j)  (-0.024821+0.009106j)  (-0.038035+0.199978j)  (0.148841+0.099432j)  (0.124290-0.065722j)  (-0.047230-0.047524j)  (-0.021212+0.070719j)  (-0.170247+0.060357j)  (-0.052062-0.079797j)  (0.070762-0.005991j)  (-0.076188-0.151538j)  (-0.145604+0.007991j)  (-0.051146+0.103645j)  (0.064926+0.012521j)  (-0.024918-0.054865j)  (0.084402-0.124073j)  (0.075278+0.017634j)  (-0.039939+0.044577j)
 (-0.126683+0.043210j)  (0.001368-0.002304j)  (0.034893-0.008815j)  (0.022934+0.110456j)  (0.017664+0.029496j)  (0.043917+0.159118j)  (0.149660+0.020372j)  (-0.065902+0.066513j)  (-0.003923+0.020190j)  (-0.006905+0.000649j)  (0.002364-0.008292j)  (0.018744+0.011086j)  (0.002336+0.003253j)  (0.027513+0.005717j)  (0.012181-0.021851j)  (0.006622+0.012496j)  (-0.015383-0.016213j)  (0.002765+0.003267j)  (0.002756+0.007229j)  (-0.010988+0.009068j)  (-0.012849+0.003687j)  (-0.023875+0.015479j)  (0.002836+0.029143j)  (-0.011626-0.006789j)  (-0.093269-0.052300j)  (0.003541-0.009666j)  (0.023683+0.011216j)  (-0.059890+0.074640j)  (-0.018983+0.026383j)  (-0.077210+0.101008j)  (0.071050+0.089719j)  (-0.075552-0.004941j)  (0.091669+0.017851j)  (-0.003213+0.008174j)  (-0.026187-0.007121j)  (0.028124-0.075132j)  (0.001291-0.026481j)  (0.030342-0.120467j)  (-0.088045-0.064840j)  (0.061532-0.022430j)  (0.047732-0.016859j)  (0.004604+0.006263j)  (-0.013690-0.005409j)  (-0.010931-0.056200j)  (0.004843-0.012041j)  (-0.014982-0.074929j)  (-0.073878+0.000542j)  (0.026866-0.029003j)  (-0.167909+0.025103j)  (-0.001992-0.019416j)  (0.038805+0.007784j)  (-0.013260+0.143485j)  (0.006670+0.042098j)  (-0.012112+0.202015j)  (0.168003+0.068625j)  (-0.107647+0.060084j)  (0.102059-0.088334j)  (0.003432+0.005775j)  (-0.027516+0.019787j)  (-0.062051-0.105769j)  (-0.029633-0.025521j)  (-0.099306-0.141807j)  (-0.142805+0.041434j)  (0.035852-0.087899j)
 (-0.029260-0.035689j)  (0.066698+0.025688j)  (-0.129452+0.077218j)  (0.033071-0.103491j)  (0.050373-0.112141j)  (-0.027654+0.113531j)  (0.068757-0.035498j)  (0.100786-0.069985j)  (-0.000898+0.003175j)  (0.013754-0.006549j)  (0.005710+0.027962j)  (-0.014532-0.010611j)  (-0.008213-0.015590j)  (0.017145+0.012229j)  (-0.003234-0.010801j)  (-0.010108-0.022666j)  (0.000515-0.013162j)  (0.005902+0.008412j)  (-0.024384-0.006030j)  (0.020439+0.003833j)  (0.013672+0.007056j)  (-0.020759-0.003080j)  (0.007968+0.016375j)  (0.019853+0.009581j)  (0.006410-0.033311j)  (0.011747+0.053376j)  (-0.123831-0.031593j)  (0.070730-0.027619j)  (0.093448-0.015655j)  (-0.080193+0.044465j)  (0.058751+0.017925j)  (0.094325+0.021439j)  (0.010103+0.031151j)  (-0.027284-0.033240j)  (0.113684-0.003387j)  (-0.058631+0.050967j)  (-0.081442+0.045590j)  (0.066754-0.067060j)  (-0.056388+0.001288j)  (-0.088320+0.010910j)  (0.017226+0.011333j)  (-0.032133-0.019882j)  (0.067021-0.046327j)  (-0.011874+0.053951j)  (-0.020845+0.056385j)  (0.014766-0.051354j)  (-0.027059+0.009918j)  (-0.042842+0.032693j)  (-0.038560-0.049680j)  (0.059210+0.052665j)  (-0.193147+0.061938j)  (0.077064-0.111921j)  (0.112028-0.108096j)  (-0.081742+0.133367j)  (0.100424-0.025580j)  (0.141263-0.057575j)  (0.045310+0.017383j)  (-0.067612-0.004880j)  (0.098629-0.132727j)  (0.004003+0.101853j)  (-0.017237+0.123009j)  (-0.008648-0.126603j)  (-0.051321+0.056748j)  (-0.069037+0.107574j)
 (0.070067-0.078888j)  (-0.102216+0.098166j)  (0.170461-0.087518j)  (-0.075947-0.060133j)  (0.051505-0.066273j)  (0.051284+0.063922j)  (0.068674+0.023148j)  (0.083362-0.025892j)  (-0.006569-0.016880j)  (0.004187+0.018648j)  (-0.003227-0.025450j)  (-0.005608+0.008515j)  (-0.008069-0.010670j)  (0.013011-0.005924j)  (0.002638-0.007545j)  (0.008420-0.012046j)  (0.016782+0.007374j)  (-0.016777-0.010794j)  (0.017428+0.016422j)  (0.008684-0.013442j)  (0.025373-0.001782j)  (-0.009790+0.008081j)  (0.004251+0.012930j)  (0.009842+0.019938j)  (0.077221-0.002234j)  (-0.098238-0.011666j)  (0.135955+0.040047j)  (-0.009488-0.059958j)  (0.058933-0.004216j)  (-0.013901+0.068593j)  (0.022974+0.050598j)  (0.056442+0.036393j)  (-0.055637+0.025027j)  (0.088600-0.026584j)  (-0.131269+0.006829j)  (0.019141+0.064498j)  (-0.049094+0.023487j)  (-0.011205-0.062054j)  (-0.032877-0.034642j)  (-0.059590-0.014252j)  (-0.027997+0.035547j)  (0.034113-0.043378j)  (-0.070548+0.051838j)  (0.032025+0.024301j)  (-0.010312+0.031063j)  (-0.021306-0.032407j)  (-0.032018-0.009060j)  (-0.036602+0.019437j)  (0.098001-0.060747j)  (-0.147113+0.079453j)  (0.230078-0.047879j)  (-0.070509-0.094916j)  (0.081234-0.063592j)  (0.040875+0.104919j)  (0.077233+0.047899j)  (0.113062+0.004720j)  (-0.029896+0.090430j)  (0.062270-0.116652j)  (-0.125052+0.144276j)  (0.091877+0.021864j)  (-0.014514+0.074271j)  (-0.071736-0.047679j)  (-0.069960+0.008312j)  (-0.067185+0.052504j)
 (0.043724-0.049776j)  (0.000612-0.001525j)  (-0.008337-0.000485j)  (-0.005125-0.042027j)  (-0.008432+0.047685j)  (-0.013642+0.017490j)  (0.038817-0.061328j)  (-0.053368+0.024600j)  (-0.018328+0.064829j)  (-0.006435+0.001893j)  (0.007791+0.016780j)  (0.030223+0.035953j)  (-0.020174-0.050358j)  (0.009305-0.021899j)  (-0.007215+0.078689j)  (0.032450-0.050042j)  (-0.074283+0.053332j)  (-0.007940-0.010407j)  (-0.002758+0.012997j)  (-0.002215+0.062444j)  (0.024510-0.058758j)  (0.023397-0.018248j)  (-0.069990+0.082768j)  (0.080809-0.022544j)  (-0.077858+0.010317j)  (-0.011111-0.013758j)  (-0.005461+0.010969j)  (-0.030844+0.062182j)  (0.039563-0.045038j)  (0.037983-0.007045j)  (-0.088072+0.048416j)  (0.088156+0.005968j)  (-0.165279+0.157361j)  (-0.036545-0.003646j)  (0.009015+0.032696j)  (0.002246+0.165768j)  (0.039505-0.156117j)  (0.071420-0.063234j)  (-0.150164+0.229402j)  (0.213780-0.078407j)  (-0.040713-0.013330j)  (-0.002730-0.009139j)  (-0.018591+0.000538j)  (-0.028410+0.029609j)  (0.036431-0.008845j)  (0.026991+0.007799j)  (-0.060104+0.003812j)  (0.043677+0.027253j)  (0.035981-0.020588j)  (0.009248+0.002643j)  (0.003360-0.008327j)  (0.000116-0.038716j)  (-0.021946+0.021095j)  (-0.008759+0.007998j)  (0.044530-0.035975j)  (-0.037756+0.000435j)  (0.040494-0.177016j)  (0.027850-0.013994j)  (-0.017251-0.016703j)  (-0.081905-0.114917j)  (0.038055+0.124233j)  (-0.021715+0.077317j)  (-0.012751-0.209854j)  (-0.103486+0.145445j)
 (0.055117+0.000000j)  (-0.026998-0.016549j)  (-0.033713+0.004815j)  (-0.028074+0.015850j)  (-0.094098+0.007147j)  (-0.002587+0.017193j)  (0.016547-0.006042j)  (0.067222+0.036899j)  (-0.026998+0.016549j)  (0.067339+0.000000j)  (0.034938-0.021759j)  (0.021337-0.037007j)  (0.090108-0.044609j)  (-0.001675-0.027679j)  (-0.010505+0.020313j)  (-0.080934-0.010814j)  (-0.033713-0.004815j)  (0.034938+0.021759j)  (0.078610+0.000000j)  (0.049709-0.006623j)  (0.134595+0.016267j)  (0.016702-0.023275j)  (-0.032270+0.009121j)  (-0.070089-0.070216j)  (-0.028074-0.015850j)  (0.021337+0.037007j)  (0.049709+0.006623j)  (0.092356+0.000000j)  (0.114455+0.065989j)  (0.034272-0.006979j)  (-0.014235+0.001880j)  (-0.037345-0.104125j)  (-0.094098-0.007147j)  (0.090108+0.044609j)  (0.134595-0.016267j)  (0.114455-0.065989j)  (0.370769+0.000000j)  (0.033332-0.062576j)  (-0.062634+0.018132j)  (-0.226294-0.153827j)  (-0.002587-0.017193j)  (-0.001675+0.027679j)  (0.016702+0.023275j)  (0.034272+0.006979j)  (0.033332+0.062576j)  (0.050794+0.000000j)  (-0.006281-0.009466j)  (0.001899-0.066265j)  (0.016547+0.006042j)  (-0.010505-0.020313j)  (-0.032270-0.009121j)  (-0.014235-0.001880j)  (-0.062634-0.018132j)  (-0.006281+0.009466j)  (0.052360+0.000000j)  (0.023573+0.035924j)  (0.067222-0.036899j)  (-0.080934+0.010814j)  (-0.070089+0.070216j)  (-0.037345+0.104125j)  (-0.226294+0.153827j)  (0.001899+0.066265j)  (0.023573-0.035924j)  (0.246099+0.000000j)
 (0.014151-0.043243j)  (0.038417+0.034534j)  (0.019633+0.005302j)  (0.059510-0.005928j)  (-0.043560-0.012277j)  (0.022701+0.041204j)  (-0.047784+0.030480j)  (-0.013171+0.036526j)  (0.002195+0.039775j)  (-0.051158-0.023660j)  (-0.022984+0.004964j)  (-0.061595+0.030286j)  (0.053875-0.010824j)  (-0.041679-0.023045j)  (0.029967-0.051636j)  (-0.001299-0.032817j)  (-0.021906+0.037224j)  (-0.039903-0.076835j)  (-0.019526-0.018509j)  (-0.089758-0.012115j)  (0.058782+0.032455j)  (-0.017480-0.055971j)  (0.070247-0.032109j)  (0.031939-0.034028j)  (-0.038796+0.040450j)  (-0.007312-0.085298j)  (-0.025575-0.021095j)  (-0.088530-0.045518j)  (0.047733+0.051002j)  (0.012292-0.066556j)  (0.089358-0.002100j)  (0.034658-0.033256j)  (-0.045223+0.117390j)  (-0.122377-0.185840j)  (-0.073615-0.035081j)  (-0.236063+0.010935j)  (0.158989+0.058960j)  (-0.066246-0.156961j)  (0.191577-0.097293j)  (0.048391-0.109338j)  (-0.031431+0.008756j)  (0.012895-0.051051j)  (0.001859-0.016862j)  (-0.027560-0.046486j)  (0.013210+0.038838j)  (0.019819-0.029364j)  (0.046506+0.018351j)  (0.022074-0.006921j)  (0.012139-0.012207j)  (0.020197+0.040416j)  (0.003485+0.013244j)  (0.040350+0.004218j)  (-0.024295-0.022047j)  (0.008117+0.031680j)  (-0.032806+0.016186j)  (-0.009769+0.015098j)  (-0.027768-0.102322j)  (0.166354+0.061286j)  (0.058623+0.000699j)  (0.157791-0.105929j)  (-0.124292+0.037921j)  (0.116127+0.060656j)  (-0.074198+0.153817j)  (0.010922+0.093352j)
